symbol	annotation_id	organism
ABO	GO:0030145	9606
ABO	GO:0046872	9606
ABO	GO:0016740	9606
ABO	GO:0016758	9606
ABR	GO:0005085	9606
ABR	GO:0005096	9606
ABR	GO:0005515	9606
ACAA1	GO:0003985	9606
ACAA1	GO:0003988	9606
ACAA1	GO:0005515	9606
ACAA1	GO:0008775	9606
ACAA1	GO:0016401	9606
ACAA1	GO:0050633	9606
ACAA1	GO:0016746	9606
ACAA1	GO:0016740	9606
ACAA1	GO:0016747	9606
ACACA	GO:0003989	9606
ACACA	GO:0005515	9606
ACACA	GO:0005524	9606
ACACA	GO:0042802	9606
ACACA	GO:0046872	9606
ACACA	GO:0000166	9606
ACACA	GO:0003824	9606
ACACA	GO:0016874	9606
ACACB	GO:0003989	9606
ACACB	GO:0005515	9606
ACACB	GO:0005524	9606
ACACB	GO:0009374	9606
ACACB	GO:0042802	9606
ACACB	GO:0046872	9606
ACACB	GO:0016874	9606
ACACB	GO:0003824	9606
ACACB	GO:0000166	9606
ACADL	GO:0000062	9606
ACADL	GO:0003995	9606
ACADL	GO:0004466	9606
ACADL	GO:0005515	9606
ACADL	GO:0016401	9606
ACADL	GO:0042802	9606
ACADL	GO:0050660	9606
ACADL	GO:0016491	9606
ACADL	GO:0016627	9606
ACADM	GO:0003995	9606
ACADM	GO:0042802	9606
ACADM	GO:0050660	9606
ACADM	GO:0070991	9606
ACADM	GO:0016491	9606
ACADM	GO:0016627	9606
ACADS	GO:0003995	9606
ACADS	GO:0004085	9606
ACADS	GO:0050660	9606
ACADS	GO:0016627	9606
ACADS	GO:0016491	9606
ACADSB	GO:0003853	9606
ACADSB	GO:0016937	9606
ACADSB	GO:0042802	9606
ACADSB	GO:0050660	9606
ACADSB	GO:0102035	9606
ACADSB	GO:0016491	9606
ACADSB	GO:0003995	9606
ACADSB	GO:0016627	9606
ACADVL	GO:0000062	9606
ACADVL	GO:0003995	9606
ACADVL	GO:0004466	9606
ACADVL	GO:0005515	9606
ACADVL	GO:0017099	9606
ACADVL	GO:0042802	9606
ACADVL	GO:0050660	9606
ACADVL	GO:0016491	9606
ACADVL	GO:0016627	9606
ACAT1	GO:0003985	9606
ACAT1	GO:0016453	9606
ACAT1	GO:0019899	9606
ACAT1	GO:0030955	9606
ACAT1	GO:0042802	9606
ACAT1	GO:0120225	9606
ACAT1	GO:0016746	9606
ACAT1	GO:0016740	9606
ACAT1	GO:0016747	9606
ACAT1	GO:0046872	9606
ACAT2	GO:0003985	9606
ACAT2	GO:0005515	9606
ACAT2	GO:0016746	9606
ACAT2	GO:0016740	9606
ACAT2	GO:0016747	9606
ASIC2	GO:0005515	9606
ASIC2	GO:0015280	9606
ASIC2	GO:0022839	9606
ASIC2	GO:0005261	9606
ASIC2	GO:0005216	9606
ASIC2	GO:0005272	9606
ASIC1	GO:0005515	9606
ASIC1	GO:0015280	9606
ASIC1	GO:0022839	9606
ASIC1	GO:0044736	9606
ASIC1	GO:0022890	9606
ASIC1	GO:0005261	9606
ASIC1	GO:0005216	9606
ASIC1	GO:0005272	9606
ACHE	GO:0001540	9606
ACHE	GO:0003990	9606
ACHE	GO:0004104	9606
ACHE	GO:0005515	9606
ACHE	GO:0005518	9606
ACHE	GO:0016787	9606
ACHE	GO:0017171	9606
ACHE	GO:0042166	9606
ACHE	GO:0042803	9606
ACHE	GO:0043236	9606
ACHE	GO:0043621	9606
ACHE	GO:0042802	9606
ACHE	GO:0052689	9606
ACLY	GO:0003878	9606
ACLY	GO:0005515	9606
ACLY	GO:0005524	9606
ACLY	GO:0046872	9606
ACLY	GO:0016829	9606
ACLY	GO:0000166	9606
ACLY	GO:0016740	9606
ACLY	GO:0003824	9606
ACLY	GO:0046912	9606
ACO1	GO:0003723	9606
ACO1	GO:0003994	9606
ACO1	GO:0005515	9606
ACO1	GO:0030350	9606
ACO1	GO:0046872	9606
ACO1	GO:0047780	9606
ACO1	GO:0051538	9606
ACO1	GO:0051539	9606
ACO1	GO:0051536	9606
ACO1	GO:0016829	9606
ACR	GO:0002020	9606
ACR	GO:0003677	9606
ACR	GO:0004040	9606
ACR	GO:0004252	9606
ACR	GO:0005507	9606
ACR	GO:0005515	9606
ACR	GO:0005537	9606
ACR	GO:0008236	9606
ACR	GO:0008270	9606
ACR	GO:0042806	9606
ACR	GO:0008233	9606
ACR	GO:0016787	9606
ACO2	GO:0003994	9606
ACO2	GO:0005506	9606
ACO2	GO:0047780	9606
ACO2	GO:0051538	9606
ACO2	GO:0051539	9606
ACO2	GO:0051536	9606
ACO2	GO:0046872	9606
ACO2	GO:0016829	9606
ACOX1	GO:0003997	9606
ACOX1	GO:0005504	9606
ACOX1	GO:0016401	9606
ACOX1	GO:0030165	9606
ACOX1	GO:0042803	9606
ACOX1	GO:0047485	9606
ACOX1	GO:0050660	9606
ACOX1	GO:0071949	9606
ACOX1	GO:0016491	9606
ACOX1	GO:0016627	9606
ACP1	GO:0003993	9606
ACP1	GO:0004725	9606
ACP1	GO:0004726	9606
ACP1	GO:0005515	9606
ACP1	GO:0016787	9606
ACP1	GO:0016791	9606
ACP1	GO:0004721	9606
ACP2	GO:0003993	9606
ACP2	GO:0005515	9606
ACP2	GO:0016791	9606
ACP2	GO:0016787	9606
ACP5	GO:0003993	9606
ACP5	GO:0008198	9606
