annotation_id	typeOfAnalysis	p_times	ranking
R-HSA-162582	Target_Hypergeom	1.0	2.0
R-HSA-6785807	Target_Hypergeom	1.0	2.0
R-HSA-1280215	Target_Hypergeom	1.0	4.0
R-HSA-449147	Target_Hypergeom	1.0	4.0
R-HSA-212436	TFs_Hypergeom	0.983	4.0
R-HSA-73857	TFs_Hypergeom	0.985	4.0
R-HSA-74160	TFs_Hypergeom	0.985	5.0
R-HSA-9006934	Target_Hypergeom	1.0	7.0
R-HSA-212436	Target_Hypergeom	1.0	11.0
R-HSA-168256	Target_Hypergeom	0.968	15.5
R-HSA-109582	Target_Hypergeom	0.999	16.0
R-HSA-5663202	Target_Hypergeom	1.0	18.0
R-HSA-1266738	TFs_Hypergeom	0.866	19.0
R-HSA-6783783	Target_Hypergeom	0.949	19.0
R-HSA-9614085	Target_Hypergeom	0.988	21.0
R-HSA-383280	TFs_Hypergeom	0.697	21.0
R-HSA-73857	Target_Hypergeom	0.996	21.0
R-HSA-74160	Target_Hypergeom	0.995	24.0
R-HSA-1474244	Target_Hypergeom	0.987	30.0
R-HSA-9006931	Target_Hypergeom	0.999	33.0
R-HSA-1643685	Target_Hypergeom	0.99	35.0
R-HSA-76002	Target_Hypergeom	1.0	38.0
R-HSA-73887	Target_Hypergeom	0.989	39.0
R-HSA-198725	TFs_Hypergeom	0.564	42.0
R-HSA-3108232	TFs_Hypergeom	0.588	43.5
R-HSA-2219528	Target_Hypergeom	0.99	44.0
R-HSA-194138	Target_Hypergeom	0.995	45.0
R-HSA-9659787	Target_Hypergeom	0.985	45.0
R-HSA-9661069	Target_Hypergeom	0.985	45.0
R-HSA-2990846	TFs_Hypergeom	0.572	46.0
R-HSA-8939211	TFs_Hypergeom	0.606	46.0
R-HSA-9006931	TFs_Hypergeom	0.726	46.0
R-HSA-9616222	TFs_Hypergeom	0.615	48.0
R-HSA-69231	Target_Hypergeom	0.983	49.5
R-HSA-69236	Target_Hypergeom	0.983	49.5
R-HSA-9009391	Target_Hypergeom	0.997	50.0
R-HSA-383280	Target_Hypergeom	0.993	50.0
R-HSA-3108232	Target_Hypergeom	0.992	51.0
R-HSA-6785807	TFs_Hypergeom	0.655	52.0
R-HSA-9006925	Target_Hypergeom	0.988	54.5
R-HSA-381340	TFs_Hypergeom	0.565	56.0
R-HSA-1257604	Target_Hypergeom	0.987	56.0
R-HSA-9031628	TFs_Hypergeom	0.496	57.5
R-HSA-449147	TFs_Hypergeom	0.576	58.0
R-HSA-9018519	TFs_Hypergeom	0.706	60.0
R-HSA-8939211	Target_Hypergeom	0.997	61.0
R-HSA-2990846	Target_Hypergeom	0.986	61.0
R-HSA-2559585	Target_Hypergeom	0.961	63.0
R-HSA-4420097	Target_Hypergeom	0.986	63.0
R-HSA-1989781	TFs_Hypergeom	0.656	64.0
R-HSA-400206	TFs_Hypergeom	0.656	65.0
R-HSA-8878159	Target_Hypergeom	0.994	66.0
R-HSA-453279	Target_Hypergeom	0.897	68.5
R-HSA-1280215	TFs_Hypergeom	0.521	71.0
R-HSA-4090294	TFs_Hypergeom	0.44	71.25
R-HSA-400253	Target_Hypergeom	0.962	71.25
R-HSA-400253	TFs_Hypergeom	0.509	71.5
R-HSA-4090294	Target_Hypergeom	0.986	72.0
R-HSA-2262752	TFs_Hypergeom	0.545	73.0
R-HSA-187037	TFs_Hypergeom	0.607	73.0
R-HSA-1989781	Target_Hypergeom	0.968	73.0
R-HSA-400206	Target_Hypergeom	0.976	73.5
R-HSA-1266738	Target_Hypergeom	0.964	75.0
R-HSA-8953897	TFs_Hypergeom	0.543	76.0
R-HSA-9634638	Target_Hypergeom	0.992	77.0
R-HSA-381340	Target_Hypergeom	0.98	80.0
R-HSA-199418	Target_Hypergeom	0.971	82.5
R-HSA-8980692	Target_Hypergeom	0.92	83.0
R-HSA-5357801	Target_Hypergeom	0.944	83.0
R-HSA-8864260	Target_Hypergeom	0.987	85.0
R-HSA-166520	TFs_Hypergeom	0.607	86.0
R-HSA-9006927	Target_Hypergeom	0.982	88.5
R-HSA-8848021	Target_Hypergeom	0.982	88.5
R-HSA-9707616	Target_Hypergeom	0.969	90.0
R-HSA-452723	TFs_Hypergeom	0.491	90.25
R-HSA-216083	Target_Hypergeom	0.914	91.0
R-HSA-162582	TFs_Hypergeom	0.466	91.5
R-HSA-193704	Target_Hypergeom	0.963	93.5
R-HSA-109581	Target_Hypergeom	0.948	94.0
R-HSA-6791312	Target_Hypergeom	0.878	96.5
R-HSA-5683057	Target_Hypergeom	0.975	97.0
R-HSA-186712	TFs_Hypergeom	0.402	97.0
R-HSA-9707616	TFs_Hypergeom	0.41	98.0
R-HSA-8878166	Target_Hypergeom	0.964	99.5
R-HSA-210745	TFs_Hypergeom	0.58	100.75
R-HSA-6811558	Target_Hypergeom	0.967	101.0
