annotation_id	typeOfAnalysis	p_times	ranking
GO:0006357	TFs_Hypergeom	1.0	2.0
GO:0006355	TFs_Hypergeom	1.0	2.0
GO:0045944	TFs_Hypergeom	0.999	3.0
GO:0045893	Target_Hypergeom	1.0	4.0
GO:0045944	Target_Hypergeom	1.0	4.0
GO:0000122	Target_Hypergeom	0.999	5.0
GO:0045893	TFs_Hypergeom	0.949	5.0
GO:0000122	TFs_Hypergeom	0.949	6.0
GO:0010628	Target_Hypergeom	0.991	13.0
GO:0008284	Target_Hypergeom	0.943	13.0
GO:0043066	Target_Hypergeom	0.972	14.0
GO:0045892	Target_Hypergeom	0.991	18.0
GO:0008285	Target_Hypergeom	0.976	18.0
GO:1902895	Target_Hypergeom	0.95	24.0
GO:0051726	Target_Hypergeom	0.954	26.0
GO:0001666	Target_Hypergeom	0.937	28.0
GO:0030335	Target_Hypergeom	0.975	28.0
GO:0042127	Target_Hypergeom	0.973	30.0
GO:0014070	Target_Hypergeom	0.927	35.0
GO:0048661	Target_Hypergeom	0.865	43.0
GO:0010629	Target_Hypergeom	0.933	46.0
GO:0006357	Target_Hypergeom	0.972	47.0
GO:0001934	Target_Hypergeom	0.937	50.0
GO:0071456	Target_Hypergeom	0.92	51.5
GO:0006915	Target_Hypergeom	0.907	53.0
GO:0010033	Target_Hypergeom	0.862	58.0
GO:0045892	TFs_Hypergeom	0.827	58.0
GO:0006468	Target_Hypergeom	0.976	61.5
GO:0043065	Target_Hypergeom	0.855	66.0
GO:0006355	Target_Hypergeom	0.942	67.0
GO:0032355	Target_Hypergeom	0.921	68.5
GO:0001525	Target_Hypergeom	0.916	71.0
GO:0045766	Target_Hypergeom	0.879	75.0
GO:0032496	Target_Hypergeom	0.808	77.0
GO:0016310	Target_Hypergeom	0.949	80.0
GO:0042060	Target_Hypergeom	0.936	84.0
GO:0030154	TFs_Hypergeom	0.647	85.0
GO:0007568	Target_Hypergeom	0.862	98.75
GO:0010628	TFs_Hypergeom	0.694	107.5
GO:0048146	Target_Hypergeom	0.881	110.75
GO:0050731	Target_Hypergeom	0.842	111.0
GO:0014068	Target_Hypergeom	0.85	112.25
GO:0042531	Target_Hypergeom	0.78	113.0
GO:0034097	Target_Hypergeom	0.845	114.5
GO:0071222	Target_Hypergeom	0.797	118.0
GO:0030154	Target_Hypergeom	0.915	119.0
GO:0035556	Target_Hypergeom	0.93	123.0
GO:0045471	Target_Hypergeom	0.813	136.0
GO:1902895	TFs_Hypergeom	0.62	143.0
GO:0010468	Target_Hypergeom	0.908	145.0
GO:0045429	Target_Hypergeom	0.835	146.25
GO:0051384	Target_Hypergeom	0.824	155.5
GO:0071260	Target_Hypergeom	0.793	156.25
GO:0042127	TFs_Hypergeom	0.323	157.0
GO:0010468	TFs_Hypergeom	0.343	161.0
GO:0043410	Target_Hypergeom	0.866	161.5
GO:0010629	TFs_Hypergeom	0.327	165.0
GO:0009636	Target_Hypergeom	0.796	166.75
GO:0007165	Target_Hypergeom	0.78	167.0
GO:0006366	TFs_Hypergeom	0.283	167.25
GO:0042542	Target_Hypergeom	0.841	168.0
GO:0008285	TFs_Hypergeom	0.377	168.0
GO:0006954	Target_Hypergeom	0.721	171.5
GO:0007179	Target_Hypergeom	0.862	173.25
GO:0030308	Target_Hypergeom	0.84	180.0
GO:0007507	Target_Hypergeom	0.827	184.0
GO:0030890	Target_Hypergeom	0.865	185.5
GO:0051091	Target_Hypergeom	0.831	187.5
GO:0043406	Target_Hypergeom	0.749	187.5
GO:0016477	Target_Hypergeom	0.852	188.0
GO:0051897	Target_Hypergeom	0.805	189.0
GO:0008284	TFs_Hypergeom	0.334	192.0
GO:0030522	TFs_Hypergeom	0.525	195.5
GO:2001240	Target_Hypergeom	0.756	197.25
GO:0030183	Target_Hypergeom	0.843	203.0
GO:0043547	Target_Hypergeom	0.856	203.0
GO:0033138	Target_Hypergeom	0.78	210.0
GO:0045930	Target_Hypergeom	0.785	213.75
GO:0048511	TFs_Hypergeom	0.186	216.25
GO:0009612	Target_Hypergeom	0.772	218.75
GO:0007165	TFs_Hypergeom	0.014	219.0
GO:0090399	Target_Hypergeom	0.815	220.25
GO:0051726	TFs_Hypergeom	0.21	226.0
GO:0050790	Target_Hypergeom	0.824	226.5
GO:1904707	Target_Hypergeom	0.734	231.0
GO:0001889	Target_Hypergeom	0.819	234.75
GO:0097192	Target_Hypergeom	0.708	238.75
GO:0018108	Target_Hypergeom	0.814	241.75
GO:0001701	TFs_Hypergeom	0.159	242.0
GO:0043627	Target_Hypergeom	0.786	242.0
GO:0008584	Target_Hypergeom	0.755	251.5
GO:0043525	Target_Hypergeom	0.731	252.25
GO:0071407	Target_Hypergeom	0.701	253.0
GO:0010243	Target_Hypergeom	0.848	255.25
GO:0008283	Target_Hypergeom	0.798	256.0
GO:0043066	TFs_Hypergeom	0.16	258.5
GO:0009314	Target_Hypergeom	0.747	259.25
GO:0000165	Target_Hypergeom	0.789	264.5
GO:0001701	Target_Hypergeom	0.843	265.0
GO:0070374	Target_Hypergeom	0.771	267.0
GO:0032869	Target_Hypergeom	0.755	268.0
GO:0007623	Target_Hypergeom	0.753	269.0
GO:0007399	TFs_Hypergeom	0.155	270.0
GO:0001889	TFs_Hypergeom	0.508	275.75
GO:0043065	TFs_Hypergeom	0.161	277.0
GO:0043524	Target_Hypergeom	0.784	283.5
GO:0071310	Target_Hypergeom	0.74	283.75
GO:0071356	Target_Hypergeom	0.732	287.0
GO:0030522	Target_Hypergeom	0.729	291.75
GO:0006915	TFs_Hypergeom	0.02	292.0
GO:0010165	Target_Hypergeom	0.778	298.5
GO:0031100	Target_Hypergeom	0.772	298.75
GO:0051056	Target_Hypergeom	0.704	300.5
GO:0098609	Target_Hypergeom	0.802	301.0
GO:0008630	Target_Hypergeom	0.715	306.0
GO:1903799	Target_Hypergeom	0.793	306.25
GO:0046777	Target_Hypergeom	0.79	307.0
GO:0051092	Target_Hypergeom	0.745	310.0
GO:0043154	Target_Hypergeom	0.69	312.25
GO:0007283	TFs_Hypergeom	0.124	312.5
GO:0051412	Target_Hypergeom	0.774	313.0
GO:0010595	Target_Hypergeom	0.762	317.0
GO:0007569	Target_Hypergeom	0.724	320.0
GO:0006979	Target_Hypergeom	0.703	322.5
GO:0030097	Target_Hypergeom	0.802	323.0
GO:0097421	Target_Hypergeom	0.734	324.5
GO:0032760	Target_Hypergeom	0.683	328.5
GO:0048545	Target_Hypergeom	0.739	329.75
GO:0007169	Target_Hypergeom	0.753	332.0
GO:0048010	Target_Hypergeom	0.748	334.25
GO:0043536	Target_Hypergeom	0.691	336.25
GO:0001836	Target_Hypergeom	0.659	339.75
GO:0045737	Target_Hypergeom	0.729	340.0
GO:0050729	Target_Hypergeom	0.682	342.25
GO:1901216	Target_Hypergeom	0.721	343.25
GO:0071560	Target_Hypergeom	0.766	347.5
GO:0061419	Target_Hypergeom	0.673	348.75
GO:0007399	Target_Hypergeom	0.749	349.0
GO:0000079	Target_Hypergeom	0.701	359.75
GO:0014823	Target_Hypergeom	0.678	367.75
GO:2000811	Target_Hypergeom	0.738	368.75
GO:0051591	Target_Hypergeom	0.711	369.75
GO:0007155	Target_Hypergeom	0.716	370.5
GO:0070059	Target_Hypergeom	0.718	374.75
GO:0007584	Target_Hypergeom	0.675	377.0
GO:0010332	Target_Hypergeom	0.673	377.0
GO:0042981	Target_Hypergeom	0.678	377.5
GO:0031668	Target_Hypergeom	0.788	378.25
GO:0008360	Target_Hypergeom	0.772	378.5
