annotation_id	typeOfAnalysis	p_times	ranking
hsa05200	Target_Hypergeom	1.0	1.0
hsa05202	TFs_Hypergeom	0.888	3.0
hsa05202	Target_Hypergeom	1.0	6.0
hsa05417	Target_Hypergeom	1.0	7.0
hsa04933	Target_Hypergeom	1.0	7.0
hsa05166	TFs_Hypergeom	0.756	8.0
hsa04151	Target_Hypergeom	1.0	8.0
hsa05200	TFs_Hypergeom	0.771	10.0
hsa05161	TFs_Hypergeom	0.701	11.0
hsa05166	Target_Hypergeom	1.0	11.0
hsa05205	Target_Hypergeom	1.0	12.0
hsa05215	Target_Hypergeom	1.0	14.0
hsa04659	TFs_Hypergeom	0.704	16.0
hsa05207	TFs_Hypergeom	0.542	18.0
hsa05169	Target_Hypergeom	0.998	18.0
hsa05161	Target_Hypergeom	1.0	19.0
hsa05222	Target_Hypergeom	0.999	19.0
hsa04066	Target_Hypergeom	1.0	19.0
hsa04380	TFs_Hypergeom	0.658	21.0
hsa04218	Target_Hypergeom	1.0	22.0
hsa04115	Target_Hypergeom	0.997	24.0
hsa05163	Target_Hypergeom	0.998	24.0
hsa04950	TFs_Hypergeom	0.413	25.0
hsa05167	TFs_Hypergeom	0.487	25.0
hsa05167	Target_Hypergeom	1.0	25.0
hsa05215	TFs_Hypergeom	0.583	25.0
hsa05418	Target_Hypergeom	1.0	26.0
hsa05162	Target_Hypergeom	0.992	26.0
hsa04658	TFs_Hypergeom	0.533	27.0
hsa05221	TFs_Hypergeom	0.451	27.0
hsa04668	Target_Hypergeom	0.989	28.0
hsa04510	Target_Hypergeom	1.0	28.0
hsa05212	Target_Hypergeom	0.999	29.0
hsa05219	Target_Hypergeom	1.0	30.0
hsa04210	Target_Hypergeom	0.996	30.0
hsa04928	TFs_Hypergeom	0.544	30.0
hsa04218	TFs_Hypergeom	0.469	31.0
hsa05224	TFs_Hypergeom	0.488	31.0
hsa05321	Target_Hypergeom	0.98	31.5
hsa05321	TFs_Hypergeom	0.373	31.75
hsa04630	Target_Hypergeom	0.993	32.0
hsa04068	Target_Hypergeom	0.998	32.0
hsa05165	Target_Hypergeom	0.999	33.0
hsa04010	Target_Hypergeom	0.999	34.0
hsa04550	TFs_Hypergeom	0.519	34.0
hsa05203	TFs_Hypergeom	0.363	34.0
hsa04934	TFs_Hypergeom	0.431	35.0
hsa05210	Target_Hypergeom	1.0	35.0
hsa04917	TFs_Hypergeom	0.369	35.25
hsa04110	Target_Hypergeom	0.984	35.5
hsa05225	Target_Hypergeom	1.0	36.0
hsa05220	Target_Hypergeom	0.998	36.0
hsa05142	Target_Hypergeom	0.992	37.0
hsa05163	TFs_Hypergeom	0.323	38.0
hsa05220	TFs_Hypergeom	0.375	38.5
hsa05169	TFs_Hypergeom	0.3	39.5
hsa04915	TFs_Hypergeom	0.473	40.0
