annotation_id	typeOfAnalysis	p_times	ranking
R-HSA-6785807	Target_Hypergeom	0.999	2.0
R-HSA-162582	Target_Hypergeom	1.0	2.5
R-HSA-1280215	Target_Hypergeom	0.986	5.0
R-HSA-449147	Target_Hypergeom	0.991	5.0
R-HSA-73857	TFs_Hypergeom	0.905	7.0
R-HSA-212436	TFs_Hypergeom	0.899	7.0
R-HSA-74160	TFs_Hypergeom	0.898	9.0
R-HSA-9006934	Target_Hypergeom	0.999	9.0
R-HSA-212436	Target_Hypergeom	0.988	14.0
R-HSA-168256	Target_Hypergeom	0.924	23.0
R-HSA-73857	Target_Hypergeom	0.971	25.0
R-HSA-5663202	Target_Hypergeom	0.993	25.0
R-HSA-109582	Target_Hypergeom	0.986	25.0
R-HSA-1266738	TFs_Hypergeom	0.735	26.5
R-HSA-74160	Target_Hypergeom	0.974	27.0
R-HSA-9614085	Target_Hypergeom	0.959	30.0
R-HSA-6783783	Target_Hypergeom	0.863	32.0
R-HSA-9006931	Target_Hypergeom	0.989	35.5
R-HSA-9659787	Target_Hypergeom	0.961	43.0
R-HSA-9661069	Target_Hypergeom	0.961	43.0
R-HSA-1474244	Target_Hypergeom	0.92	45.0
R-HSA-9009391	Target_Hypergeom	0.981	49.0
R-HSA-1643685	Target_Hypergeom	0.957	50.0
R-HSA-383280	TFs_Hypergeom	0.454	52.5
R-HSA-69231	Target_Hypergeom	0.935	55.0
R-HSA-69236	Target_Hypergeom	0.935	55.0
R-HSA-73887	Target_Hypergeom	0.937	57.0
R-HSA-76002	Target_Hypergeom	0.973	57.5
R-HSA-9006931	TFs_Hypergeom	0.474	58.0
R-HSA-2219528	Target_Hypergeom	0.936	59.0
R-HSA-8939211	Target_Hypergeom	0.974	60.0
R-HSA-8878159	Target_Hypergeom	0.981	62.0
R-HSA-194138	Target_Hypergeom	0.957	64.0
R-HSA-3108232	Target_Hypergeom	0.948	65.0
R-HSA-8939211	TFs_Hypergeom	0.587	65.25
R-HSA-3108232	TFs_Hypergeom	0.572	66.0
R-HSA-9006925	Target_Hypergeom	0.941	66.5
R-HSA-453279	Target_Hypergeom	0.849	67.0
R-HSA-2990846	TFs_Hypergeom	0.572	68.0
R-HSA-9018519	TFs_Hypergeom	0.516	68.5
R-HSA-1257604	Target_Hypergeom	0.933	69.0
R-HSA-383280	Target_Hypergeom	0.932	70.0
R-HSA-9634638	Target_Hypergeom	0.974	72.5
R-HSA-2990846	Target_Hypergeom	0.941	73.0
R-HSA-6785807	TFs_Hypergeom	0.456	73.0
R-HSA-9616222	TFs_Hypergeom	0.431	74.5
R-HSA-4090294	TFs_Hypergeom	0.619	75.25
R-HSA-2559585	Target_Hypergeom	0.878	76.0
R-HSA-449147	TFs_Hypergeom	0.468	78.0
R-HSA-8864260	Target_Hypergeom	0.953	80.0
R-HSA-381340	TFs_Hypergeom	0.378	82.0
R-HSA-1280215	TFs_Hypergeom	0.374	82.0
R-HSA-9031628	TFs_Hypergeom	0.376	82.0
R-HSA-4420097	Target_Hypergeom	0.931	82.0
R-HSA-2262752	TFs_Hypergeom	0.387	83.0
R-HSA-8953897	TFs_Hypergeom	0.387	85.0
R-HSA-198725	TFs_Hypergeom	0.329	85.25
R-HSA-452723	TFs_Hypergeom	0.559	85.5
R-HSA-1266738	Target_Hypergeom	0.924	87.5
R-HSA-186712	TFs_Hypergeom	0.285	88.0
R-HSA-162582	TFs_Hypergeom	0.35	88.0
R-HSA-1989781	TFs_Hypergeom	0.401	90.0
R-HSA-400206	TFs_Hypergeom	0.401	91.0
R-HSA-5357801	Target_Hypergeom	0.883	95.0
R-HSA-9707616	TFs_Hypergeom	0.213	96.25
R-HSA-8848021	Target_Hypergeom	0.907	96.5
R-HSA-4090294	Target_Hypergeom	0.907	96.5
R-HSA-9006927	Target_Hypergeom	0.907	96.5
R-HSA-400253	TFs_Hypergeom	0.262	97.0
R-HSA-400206	Target_Hypergeom	0.887	99.0
R-HSA-1989781	Target_Hypergeom	0.883	101.0
R-HSA-109581	Target_Hypergeom	0.884	103.0
R-HSA-2173793	Target_Hypergeom	0.936	103.5
R-HSA-381340	Target_Hypergeom	0.904	103.5
R-HSA-5683057	Target_Hypergeom	0.918	106.0
R-HSA-187037	TFs_Hypergeom	0.36	106.0
R-HSA-199418	Target_Hypergeom	0.866	107.5
R-HSA-400253	Target_Hypergeom	0.871	107.75
R-HSA-6791312	Target_Hypergeom	0.806	109.25
R-HSA-166520	TFs_Hypergeom	0.36	111.0
R-HSA-9006934	TFs_Hypergeom	0.276	111.0
R-HSA-2559583	Target_Hypergeom	0.844	112.5
R-HSA-8878159	TFs_Hypergeom	0.276	113.0
R-HSA-8878166	Target_Hypergeom	0.903	114.0
R-HSA-6804116	Target_Hypergeom	0.837	117.25
R-HSA-8941855	Target_Hypergeom	0.91	119.0
R-HSA-8980692	Target_Hypergeom	0.827	120.0
R-HSA-8878171	TFs_Hypergeom	0.282	121.0
R-HSA-9687139	Target_Hypergeom	0.872	123.0
R-HSA-9707616	Target_Hypergeom	0.868	123.5
R-HSA-193704	Target_Hypergeom	0.869	124.0
R-HSA-6811558	Target_Hypergeom	0.858	125.0
R-HSA-9614085	TFs_Hypergeom	0.193	126.0
R-HSA-216083	Target_Hypergeom	0.761	129.75
R-HSA-5663202	TFs_Hypergeom	0.163	131.0
R-HSA-2151201	TFs_Hypergeom	0.137	131.0
R-HSA-170834	Target_Hypergeom	0.881	132.0
R-HSA-8878166	TFs_Hypergeom	0.244	132.25
R-HSA-168164	TFs_Hypergeom	0.211	132.75
