annotation_id	typeOfAnalysis	p_times	ranking
R-HSA-162582	Target_Hypergeom	0.742	19.0
R-HSA-74160	TFs_Hypergeom	0.136	37.0
R-HSA-73857	TFs_Hypergeom	0.13	37.5
R-HSA-212436	TFs_Hypergeom	0.123	41.0
R-HSA-6785807	Target_Hypergeom	0.549	67.5
R-HSA-162582	TFs_Hypergeom	0.0	77.0
R-HSA-9006934	Target_Hypergeom	0.512	101.0
R-HSA-449147	Target_Hypergeom	0.48	118.0
R-HSA-212436	Target_Hypergeom	0.472	121.0
R-HSA-1280215	Target_Hypergeom	0.475	122.0
R-HSA-9006931	Target_Hypergeom	0.436	145.25
R-HSA-74160	Target_Hypergeom	0.423	146.5
R-HSA-73857	Target_Hypergeom	0.422	148.0
R-HSA-5663202	Target_Hypergeom	0.432	149.5
R-HSA-8878159	Target_Hypergeom	0.428	167.0
R-HSA-8939211	Target_Hypergeom	0.38	170.25
R-HSA-1643685	Target_Hypergeom	0.381	171.0
R-HSA-9009391	Target_Hypergeom	0.369	171.75
R-HSA-9006925	Target_Hypergeom	0.318	187.0
R-HSA-9634638	Target_Hypergeom	0.308	190.75
R-HSA-1266738	Target_Hypergeom	0.345	194.0
R-HSA-109582	Target_Hypergeom	0.339	194.0
R-HSA-168256	Target_Hypergeom	0.378	199.0
R-HSA-1257604	Target_Hypergeom	0.308	203.0
R-HSA-162582	Target_NonCentral	0.165	211.0
R-HSA-76002	Target_Hypergeom	0.308	216.5
R-HSA-194138	Target_Hypergeom	0.319	225.25
R-HSA-9661069	Target_Hypergeom	0.342	228.0
R-HSA-9659787	Target_Hypergeom	0.342	228.0
R-HSA-2219528	Target_Hypergeom	0.304	228.75
R-HSA-9018519	Target_Hypergeom	0.311	230.0
R-HSA-5683057	Target_Hypergeom	0.282	231.0
R-HSA-9716542	Target_Hypergeom	0.287	231.5
R-HSA-194315	Target_Hypergeom	0.287	232.0
R-HSA-8864260	Target_Hypergeom	0.358	234.0
R-HSA-1474244	Target_Hypergeom	0.312	238.0
R-HSA-9012999	Target_Hypergeom	0.319	241.0
R-HSA-9716542	Target_NonCentral	0.166	243.5
R-HSA-194315	Target_NonCentral	0.173	246.0
R-HSA-157118	Target_Hypergeom	0.236	249.0
R-HSA-3108232	Target_Hypergeom	0.286	249.5
R-HSA-9614085	Target_Hypergeom	0.31	249.75
R-HSA-2262752	Target_Hypergeom	0.249	252.0
R-HSA-4420097	Target_Hypergeom	0.288	252.5
R-HSA-2173793	Target_Hypergeom	0.323	255.25
R-HSA-8953897	Target_Hypergeom	0.247	255.5
R-HSA-2990846	Target_Hypergeom	0.274	258.0
R-HSA-9012999	Target_NonCentral	0.19	258.0
R-HSA-8878166	Target_Hypergeom	0.301	259.5
R-HSA-170834	Target_Hypergeom	0.287	260.25
R-HSA-109582	Target_NonCentral	0.13	261.5
R-HSA-400206	Target_Hypergeom	0.281	262.5
R-HSA-8848021	Target_Hypergeom	0.278	263.25
R-HSA-9006927	Target_Hypergeom	0.278	263.25
R-HSA-69231	Target_Hypergeom	0.325	266.75
R-HSA-69236	Target_Hypergeom	0.325	266.75
R-HSA-9006934	Target_NonCentral	0.098	267.0
R-HSA-2559583	Target_Hypergeom	0.263	272.25
R-HSA-109581	Target_Hypergeom	0.238	273.0
R-HSA-453279	Target_Hypergeom	0.276	274.5
R-HSA-5684996	Target_Hypergeom	0.212	275.0
R-HSA-73887	Target_Hypergeom	0.276	275.5
R-HSA-1989781	Target_Hypergeom	0.281	276.0
R-HSA-5357801	Target_Hypergeom	0.255	283.5
R-HSA-5663202	Target_NonCentral	0.068	285.0
R-HSA-8878171	Target_Hypergeom	0.245	286.5
R-HSA-1643685	Target_NonCentral	0.08	289.0
R-HSA-9006936	Target_Hypergeom	0.216	289.25
R-HSA-199418	Target_Hypergeom	0.223	291.0
R-HSA-388396	Target_NonCentral	0.097	291.0
R-HSA-168249	Target_NonCentral	0.084	291.0
R-HSA-5673001	Target_Hypergeom	0.19	292.0
R-HSA-1280218	Target_NonCentral	0.085	292.0
R-HSA-168249	Target_Hypergeom	0.181	294.0
R-HSA-372790	Target_NonCentral	0.108	294.0
R-HSA-1266738	Target_NonCentral	0.095	294.0
R-HSA-3700989	Target_Hypergeom	0.219	295.0
R-HSA-76002	Target_NonCentral	0.083	297.0
R-HSA-9675108	Target_NonCentral	0.098	298.0
R-HSA-381340	Target_Hypergeom	0.254	300.75
R-HSA-9616222	Target_Hypergeom	0.237	301.75
R-HSA-556833	Target_NonCentral	0.133	302.0
R-HSA-2122947	Target_Hypergeom	0.258	302.0
R-HSA-9687139	Target_Hypergeom	0.288	302.5
R-HSA-9013149	Target_NonCentral	0.175	302.5
R-HSA-168256	Target_NonCentral	0.156	305.0
R-HSA-422475	Target_NonCentral	0.075	306.0
R-HSA-9675108	Target_Hypergeom	0.177	307.5
R-HSA-74160	Target_NonCentral	0.089	310.0
R-HSA-1430728	Target_NonCentral	0.151	310.0
R-HSA-9675126	Target_Hypergeom	0.288	310.5
R-HSA-5653656	Target_NonCentral	0.082	310.5
R-HSA-9013149	Target_Hypergeom	0.246	311.0
R-HSA-9006925	Target_NonCentral	0.027	312.0
R-HSA-212436	Target_NonCentral	0.089	312.5
R-HSA-1980143	Target_Hypergeom	0.223	312.75
R-HSA-1474244	Target_NonCentral	0.116	313.0
R-HSA-6798695	Target_NonCentral	0.093	313.0
R-HSA-388396	Target_Hypergeom	0.147	314.5
R-HSA-73857	Target_NonCentral	0.086	315.0
R-HSA-597592	Target_NonCentral	0.048	318.0
R-HSA-8953897	Target_NonCentral	0.084	318.0
