annotation_id	typeOfAnalysis	p_times	ranking
WP5087	Target_Hypergeom	0.999	5.0
WP4659	Target_Hypergeom	0.999	9.0
WP236	TFs_Hypergeom	0.804	12.0
WP3611	Target_Hypergeom	0.994	14.0
WP3646	Target_Hypergeom	0.996	17.0
WP2431	Target_Hypergeom	0.993	19.5
WP4172	Target_Hypergeom	0.986	20.0
WP236	Target_Hypergeom	0.997	21.0
WP710	Target_Hypergeom	0.997	21.0
WP4754	Target_Hypergeom	0.958	21.0
WP3617	Target_Hypergeom	0.965	24.0
WP706	TFs_Hypergeom	0.67	24.75
WP5094	Target_Hypergeom	0.993	26.0
WP3624	Target_Hypergeom	0.969	27.0
WP2261	Target_Hypergeom	0.996	27.0
WP4658	Target_Hypergeom	0.992	29.0
WP366	Target_Hypergeom	0.998	29.0
WP615	Target_Hypergeom	0.986	29.0
WP254	Target_Hypergeom	0.963	33.0
WP2828	Target_Hypergeom	0.996	33.0
WP5055	Target_Hypergeom	0.949	34.0
WP4149	TFs_Hypergeom	0.459	34.0
WP2882	Target_Hypergeom	0.978	35.0
WP4674	Target_Hypergeom	0.996	35.0
WP5115	Target_Hypergeom	0.936	35.5
WP4298	Target_Hypergeom	0.97	36.0
WP1971	Target_Hypergeom	0.978	37.0
WP2586	Target_Hypergeom	0.994	37.0
WP530	Target_Hypergeom	0.891	37.0
WP2374	Target_Hypergeom	0.977	38.0
WP3888	Target_Hypergeom	0.993	38.0
WP1984	Target_Hypergeom	0.981	38.5
WP2853	TFs_Hypergeom	0.62	39.0
WP707	Target_Hypergeom	0.967	39.0
WP170	TFs_Hypergeom	0.448	39.75
WP5098	Target_Hypergeom	0.982	41.0
WP4216	Target_Hypergeom	0.985	42.0
WP45	Target_Hypergeom	0.96	44.0
WP4263	Target_Hypergeom	0.989	44.0
WP306	Target_Hypergeom	0.988	46.0
WP2857	TFs_Hypergeom	0.582	47.0
WP4666	Target_Hypergeom	0.979	49.0
WP179	Target_Hypergeom	0.938	49.0
WP2864	Target_Hypergeom	0.983	51.0
WP4806	Target_Hypergeom	0.983	52.0
WP3614	Target_Hypergeom	0.94	52.0
WP3995	TFs_Hypergeom	0.328	57.5
WP3932	Target_Hypergeom	0.949	58.0
WP2328	Target_Hypergeom	0.886	58.0
WP2324	Target_Hypergeom	0.941	60.0
WP176	Target_Hypergeom	0.92	61.0
WP4155	Target_Hypergeom	0.988	62.0
WP4666	TFs_Hypergeom	0.497	62.0
WP1742	Target_Hypergeom	0.975	63.0
WP1533	Target_Hypergeom	0.901	67.75
WP4255	Target_Hypergeom	0.979	68.0
WP138	Target_Hypergeom	0.984	68.0
WP4262	Target_Hypergeom	0.954	71.0
WP2877	Target_Hypergeom	0.932	71.5
WP2814	Target_Hypergeom	0.971	72.5
WP2355	Target_Hypergeom	0.973	73.0
WP2840	TFs_Hypergeom	0.41	73.0
WP2849	Target_Hypergeom	0.96	73.75
WP1530	Target_Hypergeom	0.918	74.0
WP366	TFs_Hypergeom	0.456	74.0
WP49	Target_Hypergeom	0.982	74.25
WP3599	TFs_Hypergeom	0.502	74.25
WP4970	Target_Hypergeom	0.955	76.0
WP560	Target_Hypergeom	0.963	77.0
WP4816	Target_Hypergeom	0.96	77.0
WP2815	Target_Hypergeom	0.956	77.0
WP706	Target_Hypergeom	0.935	78.0
WP3287	Target_Hypergeom	0.907	79.0
WP3594	TFs_Hypergeom	0.24	79.0
WP437	TFs_Hypergeom	0.402	80.0
WP2873	Target_Hypergeom	0.915	80.0
WP4341	Target_Hypergeom	0.946	80.5
WP2032	Target_Hypergeom	0.97	80.75
WP2882	TFs_Hypergeom	0.342	81.5
WP1984	TFs_Hypergeom	0.426	81.5
WP4484	Target_Hypergeom	0.869	82.5
WP2037	Target_Hypergeom	0.959	84.0
WP3303	Target_Hypergeom	0.943	84.0
WP4494	Target_Hypergeom	0.84	84.0
WP2446	Target_Hypergeom	0.882	85.5
WP4659	TFs_Hypergeom	0.377	86.0
WP1541	TFs_Hypergeom	0.262	86.5
WP474	Target_Hypergeom	0.931	87.5
WP4808	Target_Hypergeom	0.931	87.5
WP4685	Target_Hypergeom	0.956	89.0
WP5088	Target_Hypergeom	0.829	90.0
WP5094	TFs_Hypergeom	0.366	91.0
WP1772	Target_Hypergeom	0.865	92.0
WP2849	TFs_Hypergeom	0.289	92.25
WP3527	TFs_Hypergeom	0.254	93.25
WP4879	TFs_Hypergeom	0.249	94.75
WP2817	TFs_Hypergeom	0.169	94.75
WP23	TFs_Hypergeom	0.328	95.5
WP2064	TFs_Hypergeom	0.318	96.0
WP395	TFs_Hypergeom	0.256	97.0
WP69	Target_Hypergeom	0.881	97.5
WP2572	Target_Hypergeom	0.944	98.0
WP437	Target_Hypergeom	0.958	98.25
WP3888	TFs_Hypergeom	0.15	98.5
WP560	TFs_Hypergeom	0.25	98.5
WP4262	TFs_Hypergeom	0.347	100.0
WP3972	TFs_Hypergeom	0.165	101.25
WP3640	Target_Hypergeom	0.961	101.5
WP4816	TFs_Hypergeom	0.25	103.0
WP3646	TFs_Hypergeom	0.184	103.75
WP4891	Target_Hypergeom	0.794	104.0
WP2203	TFs_Hypergeom	0.186	104.25
WP4211	TFs_Hypergeom	0.503	104.5
WP399	Target_Hypergeom	0.955	105.0
WP2374	TFs_Hypergeom	0.245	105.25
WP4754	TFs_Hypergeom	0.174	105.5
WP3651	Target_Hypergeom	0.949	106.0
WP2324	TFs_Hypergeom	0.239	106.25
WP3863	Target_Hypergeom	0.872	106.25
WP2034	Target_Hypergeom	0.89	106.5
WP138	TFs_Hypergeom	0.285	107.5
WP2813	Target_Hypergeom	0.961	108.0
WP5083	Target_Hypergeom	0.878	108.0
WP170	Target_Hypergeom	0.893	109.0
WP1539	Target_Hypergeom	0.885	109.0
WP286	Target_Hypergeom	0.904	110.0
WP4879	Target_Hypergeom	0.9	111.0
WP5113	Target_Hypergeom	0.821	112.25
WP382	TFs_Hypergeom	0.131	112.5
WP4747	Target_Hypergeom	0.903	114.0
WP2817	Target_Hypergeom	0.926	114.25
WP5102	TFs_Hypergeom	0.133	116.0
WP2877	TFs_Hypergeom	0.141	116.25
WP453	Target_Hypergeom	0.81	116.75
WP1591	TFs_Hypergeom	0.149	117.0
WP2355	TFs_Hypergeom	0.269	117.0
WP15	Target_Hypergeom	0.82	118.0
WP5095	Target_Hypergeom	0.73	119.0
WP2516	Target_Hypergeom	0.839	120.0
WP3893	Target_Hypergeom	0.815	120.0
WP4149	Target_Hypergeom	0.894	120.0
WP23	Target_Hypergeom	0.881	120.0
WP710	TFs_Hypergeom	0.248	120.25
WP205	Target_Hypergeom	0.92	120.75
WP5087	TFs_Hypergeom	0.149	122.0
WP4541	Target_Hypergeom	0.891	123.0
WP2034	TFs_Hypergeom	0.217	123.0
WP2380	TFs_Hypergeom	0.273	125.75
WP399	TFs_Hypergeom	0.234	130.0
WP4341	TFs_Hypergeom	0.182	131.75
WP2037	TFs_Hypergeom	0.191	132.25
WP4018	Target_Hypergeom	0.81	133.0
WP3680	Target_Hypergeom	0.889	133.75
WP363	Target_Hypergeom	0.924	134.0
WP3932	Target_NonCentral	0.211	135.5
WP4136	Target_Hypergeom	0.755	135.75
WP254	TFs_Hypergeom	0.194	136.0
WP2332	Target_Hypergeom	0.84	136.0
WP2858	TFs_Hypergeom	0.227	136.75
WP395	Target_Hypergeom	0.844	137.0
WP3599	Target_Hypergeom	0.814	137.5
WP2865	Target_Hypergeom	0.798	138.0
WP619	Target_Hypergeom	0.773	138.0
WP4216	TFs_Hypergeom	0.17	139.0
WP4925	Target_Hypergeom	0.854	139.25
WP2018	TFs_Hypergeom	0.149	139.25
WP69	TFs_Hypergeom	0.18	140.5
WP5115	TFs_Hypergeom	0.059	141.0
WP127	Target_Hypergeom	0.902	141.0
WP4496	Target_Hypergeom	0.766	141.0
WP45	TFs_Hypergeom	0.149	141.5
WP4300	Target_Hypergeom	0.828	141.5
WP2023	TFs_Hypergeom	0.142	141.75
WP289	TFs_Hypergeom	0.174	142.0
WP4331	Target_Hypergeom	0.788	142.5
WP3892	Target_Hypergeom	0.813	143.5
WP4239	TFs_Hypergeom	0.171	144.0
WP2878	Target_Hypergeom	0.82	145.0
WP2018	Target_Hypergeom	0.839	145.0
WP314	Target_Hypergeom	0.789	145.5
WP4844	TFs_Hypergeom	0.139	146.5
WP4482	Target_Hypergeom	0.785	146.5
WP2203	Target_Hypergeom	0.823	147.0
WP3658	Target_Hypergeom	0.878	147.5
WP673	Target_Hypergeom	0.877	149.0
WP2036	Target_Hypergeom	0.753	150.0
WP5039	Target_Hypergeom	0.739	150.5
WP304	Target_Hypergeom	0.839	150.5
WP4263	TFs_Hypergeom	0.16	151.5
WP408	Target_Hypergeom	0.824	152.0
WP61	Target_Hypergeom	0.857	152.25
WP4787	TFs_Hypergeom	0.167	153.75
WP5097	Target_Hypergeom	0.812	154.25
WP4462	Target_Hypergeom	0.693	154.5
WP382	Target_Hypergeom	0.809	155.0
WP127	TFs_Hypergeom	0.139	155.25
WP4685	TFs_Hypergeom	0.153	155.5
WP2032	TFs_Hypergeom	0.158	155.5
WP179	TFs_Hypergeom	0.154	156.25
WP4141	Target_Hypergeom	0.753	156.75
WP1449	Target_Hypergeom	0.724	157.5
WP2380	Target_Hypergeom	0.828	158.0
WP5087	Target_NonCentral	0.206	158.0
WP2840	Target_Hypergeom	0.844	159.0
WP2839	Target_Hypergeom	0.848	159.0
WP3995	Target_Hypergeom	0.82	159.0
WP4255	TFs_Hypergeom	0.145	159.75
WP289	Target_Hypergeom	0.794	160.0
WP364	Target_Hypergeom	0.7	162.0
WP4673	Target_Hypergeom	0.79	162.0
WP4969	Target_Hypergeom	0.683	162.5
WP3932	TFs_Hypergeom	0.032	162.5
WP4540	Target_Hypergeom	0.803	163.0
WP75	Target_Hypergeom	0.714	163.5
WP3594	Target_Hypergeom	0.788	166.0
WP4481	Target_Hypergeom	0.766	166.0
WP2870	Target_Hypergeom	0.737	167.5
WP313	Target_Hypergeom	0.784	168.0
WP2064	Target_Hypergeom	0.795	168.0
WP4864	Target_Hypergeom	0.732	168.25
WP712	Target_Hypergeom	0.829	169.0
WP4478	Target_Hypergeom	0.658	169.0
WP231	Target_Hypergeom	0.698	170.0
WP2881	Target_Hypergeom	0.745	172.0
WP4217	Target_Hypergeom	0.754	173.0
WP4172	TFs_Hypergeom	0.028	173.0
WP34	Target_Hypergeom	0.757	174.0
WP4658	TFs_Hypergeom	0.155	174.0
WP4396	TFs_Hypergeom	0.15	174.75
WP4522	Target_Hypergeom	0.663	176.0
WP2877	Target_NonCentral	0.182	177.0
WP2880	Target_Hypergeom	0.759	178.0
WP4658	Target_NonCentral	0.207	178.0
WP306	Target_NonCentral	0.125	179.0
WP3872	Target_Hypergeom	0.684	179.0
WP4559	Target_Hypergeom	0.695	180.0
WP2848	Target_Hypergeom	0.746	182.25
WP1403	Target_Hypergeom	0.712	182.5
WP1982	TFs_Hypergeom	0.143	183.0
WP3859	Target_Hypergeom	0.689	183.25
WP4172	Target_NonCentral	0.181	183.5
WP3981	Target_Hypergeom	0.806	184.0
WP23	Target_NonCentral	0.146	185.5
WP2380	Target_NonCentral	0.128	187.0
WP3612	Target_Hypergeom	0.714	187.25
WP2431	TFs_Hypergeom	0.129	189.5
WP3969	Target_Hypergeom	0.733	189.5
WP4970	Target_NonCentral	0.12	190.0
WP3657	Target_Hypergeom	0.704	192.0
WP299	Target_Hypergeom	0.692	192.25
WP430	Target_Hypergeom	0.618	193.25
WP4844	Target_Hypergeom	0.702	193.5
WP236	Target_NonCentral	0.164	195.0
WP4258	TFs_Hypergeom	0.139	195.0
WP4674	Target_NonCentral	0.132	195.5
WP4564	Target_Hypergeom	0.752	196.0
WP4493	Target_Hypergeom	0.643	196.25
WP4495	Target_Hypergeom	0.679	197.5
WP4241	Target_Hypergeom	0.681	198.25
WP395	Target_NonCentral	0.098	199.0
WP5063	Target_Hypergeom	0.655	199.0
WP5094	Target_NonCentral	0.151	200.5
WP2526	Target_Hypergeom	0.678	200.5
WP2374	Target_NonCentral	0.134	201.5
WP5083	TFs_Hypergeom	0.14	201.75
WP4560	Target_Hypergeom	0.713	202.0
WP3672	Target_Hypergeom	0.731	202.25
WP3998	Target_Hypergeom	0.709	202.75
WP4396	Target_Hypergeom	0.658	203.0
WP3678	Target_Hypergeom	0.657	203.75
WP2586	Target_NonCentral	0.098	205.0
WP2858	Target_Hypergeom	0.687	205.75
WP437	Target_NonCentral	0.099	206.0
WP5115	Target_NonCentral	0.248	206.5
WP5092	Target_Hypergeom	0.617	206.75
WP4565	Target_Hypergeom	0.701	207.25
WP5110	Target_Hypergeom	0.592	207.5
WP3611	Target_NonCentral	0.133	207.5
WP4480	Target_Hypergeom	0.627	207.75
WP4483	Target_Hypergeom	0.696	208.0
WP2261	Target_NonCentral	0.107	208.0
WP129	Target_Hypergeom	0.577	208.25
WP3929	Target_Hypergeom	0.594	210.0
WP2324	Target_NonCentral	0.138	210.0
WP3646	Target_NonCentral	0.087	212.0
WP3888	Target_NonCentral	0.068	212.0
WP4539	Target_NonCentral	0.111	212.5
WP3850	Target_Hypergeom	0.664	212.5
WP1544	Target_Hypergeom	0.642	213.0
WP3601	Target_Hypergeom	0.573	213.5
WP1971	Target_NonCentral	0.221	215.5
WP4659	Target_NonCentral	0.088	215.5
WP4541	Target_NonCentral	0.091	216.0
WP1528	Target_Hypergeom	0.657	216.0
WP4746	Target_NonCentral	0.113	217.0
WP3915	Target_NonCentral	0.132	217.0
WP2011	Target_Hypergeom	0.62	217.0
WP51	Target_NonCentral	0.1	219.0
WP3972	Target_Hypergeom	0.598	219.75
WP481	Target_NonCentral	0.074	220.0
WP4928	Target_Hypergeom	0.686	220.25
WP304	Target_NonCentral	0.066	220.5
WP244	Target_NonCentral	0.084	220.5
WP481	Target_Hypergeom	0.636	221.0
WP2037	Target_NonCentral	0.092	221.0
WP428	Target_Hypergeom	0.639	221.5
WP4871	Target_Hypergeom	0.617	221.75
WP69	Target_NonCentral	0.125	222.0
WP2355	Target_NonCentral	0.072	222.0
WP4149	Target_NonCentral	0.084	222.5
WP4357	Target_Hypergeom	0.62	222.75
WP4155	Target_NonCentral	0.114	224.0
