annotation_id	typeOfAnalysis	p_times	ranking
R-HSA-512988	Target_Hypergeom	0.368	316.5
R-HSA-9702518	Target_Hypergeom	0.302	316.5
R-HSA-622312	Target_Hypergeom	0.398	316.75
R-HSA-2644602	Target_Hypergeom	0.349	318.0
R-HSA-2644603	Target_Hypergeom	0.349	318.0
R-HSA-2894858	Target_Hypergeom	0.349	318.0
R-HSA-2894862	Target_Hypergeom	0.349	318.0
R-HSA-2644606	Target_Hypergeom	0.349	318.0
R-HSA-5674400	Target_Hypergeom	0.388	318.25
R-HSA-69206	Target_Hypergeom	0.375	320.0
R-HSA-4411364	Target_Hypergeom	0.262	321.75
R-HSA-168898	Target_Hypergeom	0.372	323.0
R-HSA-9703465	Target_Hypergeom	0.393	325.75
R-HSA-9013026	Target_Hypergeom	0.37	326.25
R-HSA-166016	Target_Hypergeom	0.363	327.0
R-HSA-9703648	Target_Hypergeom	0.364	329.25
R-HSA-204998	Target_Hypergeom	0.353	331.25
R-HSA-451927	Target_Hypergeom	0.381	343.25
R-HSA-2173795	Target_Hypergeom	0.383	347.25
R-HSA-9031628	Target_Hypergeom	0.337	348.25
R-HSA-216083	Target_Hypergeom	0.354	349.25
R-HSA-3000171	Target_Hypergeom	0.355	349.5
R-HSA-201556	Target_Hypergeom	0.338	352.5
R-HSA-6806003	Target_Hypergeom	0.353	354.0
R-HSA-9013149	Target_NonCentral	0.195	354.0
R-HSA-198725	Target_Hypergeom	0.322	355.75
R-HSA-111465	Target_Hypergeom	0.318	357.5
R-HSA-8863678	Target_Hypergeom	0.351	358.0
R-HSA-8862803	Target_Hypergeom	0.351	358.0
R-HSA-9006934	Target_NonCentral	0.181	359.0
R-HSA-1538133	Target_Hypergeom	0.356	361.25
R-HSA-9615017	Target_Hypergeom	0.369	363.25
R-HSA-168164	Target_Hypergeom	0.328	364.0
R-HSA-937061	Target_Hypergeom	0.337	364.25
R-HSA-166166	Target_Hypergeom	0.337	364.25
R-HSA-6804757	Target_Hypergeom	0.348	368.0
R-HSA-109582	Target_NonCentral	0.188	369.0
R-HSA-193648	Target_Hypergeom	0.327	369.5
R-HSA-6806834	Target_Hypergeom	0.296	369.75
R-HSA-187037	Target_Hypergeom	0.316	371.5
R-HSA-198323	Target_Hypergeom	0.304	371.5
R-HSA-975155	Target_Hypergeom	0.308	378.25
R-HSA-1362277	Target_Hypergeom	0.317	378.5
R-HSA-168181	Target_Hypergeom	0.304	385.25
R-HSA-5218921	Target_Hypergeom	0.318	385.5
R-HSA-975138	Target_Hypergeom	0.289	386.75
R-HSA-75153	Target_Hypergeom	0.305	387.0
R-HSA-1433557	Target_Hypergeom	0.268	387.0
R-HSA-975871	Target_Hypergeom	0.282	387.5
R-HSA-168142	Target_Hypergeom	0.282	387.5
R-HSA-168176	Target_Hypergeom	0.282	387.5
R-HSA-416482	Target_Hypergeom	0.303	388.0
R-HSA-168643	Target_Hypergeom	0.304	389.5
R-HSA-114452	Target_Hypergeom	0.327	390.75
R-HSA-166058	Target_Hypergeom	0.309	391.5
R-HSA-168188	Target_Hypergeom	0.309	391.5
R-HSA-202733	Target_Hypergeom	0.309	393.25
R-HSA-168138	Target_Hypergeom	0.3	395.5
R-HSA-912526	Target_Hypergeom	0.352	396.25
R-HSA-9013106	Target_Hypergeom	0.326	396.25
R-HSA-1227986	Target_Hypergeom	0.274	401.25
R-HSA-2559580	Target_Hypergeom	0.291	404.0
R-HSA-9012999	Target_NonCentral	0.211	404.5
R-HSA-9675108	Target_Hypergeom	0.266	405.5
R-HSA-69242	Target_Hypergeom	0.283	406.0
R-HSA-181438	Target_Hypergeom	0.313	406.0
R-HSA-168179	Target_Hypergeom	0.313	406.0
R-HSA-1234158	Target_Hypergeom	0.294	406.5
R-HSA-9012852	Target_Hypergeom	0.268	408.5
R-HSA-1474228	Target_Hypergeom	0.305	408.75
R-HSA-168249	Target_Hypergeom	0.293	409.0
R-HSA-8875878	Target_Hypergeom	0.275	412.25
R-HSA-446728	Target_Hypergeom	0.268	412.5
R-HSA-2022090	Target_Hypergeom	0.273	415.75
R-HSA-381426	Target_Hypergeom	0.325	416.5
R-HSA-9013148	Target_Hypergeom	0.298	417.5
R-HSA-8939246	Target_Hypergeom	0.243	420.75
R-HSA-76002	Target_NonCentral	0.112	423.0
R-HSA-2682334	Target_Hypergeom	0.22	423.25
R-HSA-2029480	Target_Hypergeom	0.245	427.25
R-HSA-8874081	Target_Hypergeom	0.299	427.5
R-HSA-5663202	Target_NonCentral	0.104	428.5
R-HSA-3232118	Target_Hypergeom	0.281	431.25
R-HSA-8957322	Target_Hypergeom	0.296	432.75
R-HSA-187577	Target_Hypergeom	0.234	435.0
R-HSA-5218859	Target_Hypergeom	0.316	436.0
R-HSA-194315	Target_NonCentral	0.163	437.5
R-HSA-8939256	Target_Hypergeom	0.165	437.75
R-HSA-9614657	Target_Hypergeom	0.27	438.0
R-HSA-9716542	Target_NonCentral	0.16	438.0
R-HSA-1280218	Target_NonCentral	0.132	439.0
R-HSA-6804114	Target_Hypergeom	0.313	441.0
R-HSA-983695	Target_Hypergeom	0.281	441.25
R-HSA-1368108	Target_Hypergeom	0.258	443.25
R-HSA-9013404	Target_Hypergeom	0.251	443.25
R-HSA-9658195	Target_Hypergeom	0.217	443.5
R-HSA-9013148	Target_NonCentral	0.169	447.0
R-HSA-3000178	Target_Hypergeom	0.281	447.25
R-HSA-452723	Target_Hypergeom	0.214	448.25
R-HSA-202733	Target_NonCentral	0.181	452.5
R-HSA-8943724	Target_Hypergeom	0.192	454.0
R-HSA-373755	Target_Hypergeom	0.207	454.5
R-HSA-525793	Target_Hypergeom	0.253	455.5
R-HSA-166520	Target_NonCentral	0.097	456.0
R-HSA-8986944	Target_Hypergeom	0.202	458.5
R-HSA-9607240	Target_Hypergeom	0.25	459.25
R-HSA-5689896	Target_Hypergeom	0.255	460.0
R-HSA-3928665	Target_Hypergeom	0.215	460.75
R-HSA-69615	Target_Hypergeom	0.265	462.0
R-HSA-8980692	Target_NonCentral	0.202	462.5
R-HSA-422475	Target_Hypergeom	0.193	462.5
