annotation_id	typeOfAnalysis	p_times	ranking
GO:0006357	TFs_Hypergeom	1.0	1.0
GO:0045893	Target_Hypergeom	1.0	2.0
GO:0045944	Target_Hypergeom	1.0	2.0
GO:0006355	TFs_Hypergeom	1.0	2.0
GO:0045944	TFs_Hypergeom	1.0	3.0
GO:0000122	Target_Hypergeom	1.0	3.0
GO:0045893	TFs_Hypergeom	1.0	4.0
GO:0000122	TFs_Hypergeom	1.0	5.0
GO:0010628	Target_Hypergeom	1.0	6.0
GO:0045892	TFs_Hypergeom	0.989	8.0
GO:0008284	Target_Hypergeom	1.0	8.0
GO:0043066	Target_Hypergeom	1.0	8.0
GO:0008285	Target_Hypergeom	1.0	9.0
GO:0030154	TFs_Hypergeom	0.99	10.0
GO:0045892	Target_Hypergeom	1.0	10.0
GO:0001666	Target_Hypergeom	1.0	12.0
GO:0010628	TFs_Hypergeom	0.975	13.0
GO:0030335	Target_Hypergeom	1.0	14.0
GO:1902895	Target_Hypergeom	1.0	15.0
GO:0042127	Target_Hypergeom	1.0	15.0
GO:0051726	Target_Hypergeom	1.0	16.0
GO:1902895	TFs_Hypergeom	0.792	19.0
GO:0014070	Target_Hypergeom	1.0	21.0
GO:0043065	Target_Hypergeom	1.0	22.0
GO:0006915	Target_Hypergeom	1.0	25.0
GO:0010629	Target_Hypergeom	1.0	26.0
GO:0048661	Target_Hypergeom	0.999	27.0
GO:0032496	Target_Hypergeom	0.998	28.0
GO:0006468	Target_Hypergeom	1.0	30.0
GO:0001934	Target_Hypergeom	1.0	30.0
GO:0001525	Target_Hypergeom	1.0	31.0
GO:0006357	Target_Hypergeom	1.0	31.0
GO:0032355	Target_Hypergeom	1.0	32.0
GO:0045766	Target_Hypergeom	0.999	35.0
GO:0016310	Target_Hypergeom	1.0	35.0
GO:0010033	Target_Hypergeom	0.995	35.0
GO:0007568	Target_Hypergeom	0.999	36.0
GO:0071456	Target_Hypergeom	1.0	36.0
GO:0006355	Target_Hypergeom	1.0	36.5
GO:0071222	Target_Hypergeom	0.992	37.0
GO:0030154	Target_Hypergeom	1.0	46.0
GO:0014068	Target_Hypergeom	0.999	47.0
GO:0042127	TFs_Hypergeom	0.893	47.5
GO:0030522	TFs_Hypergeom	0.694	48.5
GO:0035556	Target_Hypergeom	0.999	49.0
GO:0042060	Target_Hypergeom	1.0	50.0
GO:0006954	Target_Hypergeom	0.974	51.0
GO:0042531	Target_Hypergeom	0.99	52.0
GO:0050731	Target_Hypergeom	0.997	53.0
GO:0016477	Target_Hypergeom	1.0	57.0
GO:0043410	Target_Hypergeom	1.0	58.0
GO:0006366	TFs_Hypergeom	0.833	58.25
GO:0045471	Target_Hypergeom	0.994	61.0
GO:0071260	Target_Hypergeom	0.996	67.0
GO:0042542	Target_Hypergeom	0.997	70.5
GO:0034097	Target_Hypergeom	0.996	71.0
GO:0043547	Target_Hypergeom	0.999	71.5
GO:0043406	Target_Hypergeom	0.992	72.0
GO:0010468	TFs_Hypergeom	0.748	75.0
GO:0007507	Target_Hypergeom	0.994	75.0
GO:0007165	Target_Hypergeom	0.985	76.0
GO:0048146	Target_Hypergeom	0.995	77.75
GO:0051897	Target_Hypergeom	0.996	78.5
GO:0045429	Target_Hypergeom	0.992	80.0
GO:0010468	Target_Hypergeom	1.0	80.0
GO:0009612	Target_Hypergeom	0.993	81.0
GO:0007179	Target_Hypergeom	0.997	86.0
GO:0007623	Target_Hypergeom	0.987	88.0
GO:0032869	Target_Hypergeom	0.992	89.0
GO:0071356	Target_Hypergeom	0.983	90.0
GO:0009636	Target_Hypergeom	0.99	92.0
GO:0043525	Target_Hypergeom	0.997	94.0
GO:0070374	Target_Hypergeom	0.988	94.0
GO:0071407	Target_Hypergeom	0.987	95.75
GO:0018108	Target_Hypergeom	0.997	96.0
GO:0051092	Target_Hypergeom	0.989	97.0
GO:0032760	Target_Hypergeom	0.963	98.0
GO:0009615	Target_Hypergeom	0.952	99.0
GO:2001240	Target_Hypergeom	0.98	104.0
GO:0007155	Target_Hypergeom	0.979	104.5
GO:0048856	TFs_Hypergeom	0.554	105.25
GO:0030183	Target_Hypergeom	0.997	107.0
GO:0051056	Target_Hypergeom	0.973	108.5
GO:0008283	Target_Hypergeom	0.991	108.5
GO:0051091	Target_Hypergeom	1.0	109.0
GO:0001701	Target_Hypergeom	1.0	110.0
GO:0008285	TFs_Hypergeom	0.805	112.0
GO:0030522	Target_Hypergeom	0.991	115.0
GO:0031663	Target_Hypergeom	0.954	116.0
GO:0030308	Target_Hypergeom	0.994	116.25
GO:0043627	Target_Hypergeom	0.989	117.0
GO:0045165	TFs_Hypergeom	0.588	118.0
GO:0050790	Target_Hypergeom	0.992	120.5
GO:0008203	Target_Hypergeom	0.937	120.5
GO:0001889	Target_Hypergeom	0.993	122.5
GO:0009314	Target_Hypergeom	0.984	126.5
GO:0008630	Target_Hypergeom	0.98	128.5
GO:0098609	Target_Hypergeom	0.987	128.5
GO:0008584	Target_Hypergeom	0.987	128.5
GO:0046777	Target_Hypergeom	0.994	130.0
