annotation_id	typeOfAnalysis	p_times	ranking
WP5087	Target_Hypergeom	1.0	4.0
WP236	TFs_Hypergeom	0.833	6.0
WP4659	Target_Hypergeom	1.0	9.0
WP236	Target_Hypergeom	1.0	13.0
WP3611	Target_Hypergeom	1.0	14.0
WP4172	Target_Hypergeom	1.0	15.0
WP4754	Target_Hypergeom	0.999	15.0
WP706	TFs_Hypergeom	0.783	15.0
WP170	TFs_Hypergeom	0.698	16.0
WP4149	TFs_Hypergeom	0.663	16.0
WP3617	Target_Hypergeom	0.995	16.0
WP2431	Target_Hypergeom	0.998	17.0
WP3646	Target_Hypergeom	1.0	17.0
WP3624	Target_Hypergeom	0.999	18.5
WP710	Target_Hypergeom	1.0	19.0
WP5094	Target_Hypergeom	1.0	22.0
WP5055	Target_Hypergeom	0.997	23.0
WP366	Target_Hypergeom	1.0	25.0
WP2261	Target_Hypergeom	1.0	25.0
WP615	Target_Hypergeom	0.999	26.0
WP4658	Target_Hypergeom	0.999	26.0
WP5115	Target_Hypergeom	0.985	26.0
WP254	Target_Hypergeom	0.99	27.0
WP2853	TFs_Hypergeom	0.601	30.0
WP3995	TFs_Hypergeom	0.557	30.5
WP3888	Target_Hypergeom	1.0	31.0
WP530	Target_Hypergeom	0.972	31.75
WP2374	Target_Hypergeom	0.999	32.0
WP2882	Target_Hypergeom	0.997	32.0
WP1971	Target_Hypergeom	0.996	33.0
WP4674	Target_Hypergeom	1.0	34.0
WP4298	Target_Hypergeom	0.999	34.0
WP707	Target_Hypergeom	0.993	34.0
WP2857	TFs_Hypergeom	0.564	36.0
WP1984	Target_Hypergeom	1.0	36.0
WP306	Target_Hypergeom	0.999	37.0
WP2828	Target_Hypergeom	1.0	38.0
WP2586	Target_Hypergeom	1.0	38.0
WP2864	Target_Hypergeom	0.999	42.0
WP5098	Target_Hypergeom	0.995	42.0
WP4263	Target_Hypergeom	0.998	43.0
WP3614	Target_Hypergeom	0.994	44.0
WP2840	TFs_Hypergeom	0.648	46.0
WP4216	Target_Hypergeom	1.0	46.0
WP3932	Target_Hypergeom	0.994	47.0
WP4666	Target_Hypergeom	1.0	47.5
WP45	Target_Hypergeom	0.991	48.0
WP366	TFs_Hypergeom	0.456	49.0
WP179	Target_Hypergeom	0.968	49.0
WP2328	Target_Hypergeom	0.964	49.0
WP2324	Target_Hypergeom	0.987	50.0
WP4666	TFs_Hypergeom	0.496	51.25
WP4806	Target_Hypergeom	0.998	52.0
WP176	Target_Hypergeom	0.978	54.0
WP1533	Target_Hypergeom	0.974	57.0
WP4659	TFs_Hypergeom	0.467	61.0
WP4211	TFs_Hypergeom	0.628	61.5
WP4155	Target_Hypergeom	1.0	63.0
WP2877	Target_Hypergeom	0.983	64.0
WP4255	Target_Hypergeom	0.997	64.0
WP2355	Target_Hypergeom	0.995	64.5
WP2849	Target_Hypergeom	0.995	66.0
WP2849	TFs_Hypergeom	0.502	66.0
WP560	Target_Hypergeom	0.998	67.0
WP706	Target_Hypergeom	0.989	67.0
WP4816	Target_Hypergeom	0.995	67.25
WP23	TFs_Hypergeom	0.558	68.0
WP5088	Target_Hypergeom	0.92	68.25
WP1541	TFs_Hypergeom	0.48	69.5
WP138	Target_Hypergeom	0.999	70.0
WP4341	Target_Hypergeom	0.995	70.0
WP2064	TFs_Hypergeom	0.542	71.0
WP1742	Target_Hypergeom	0.996	71.75
WP4808	Target_Hypergeom	0.99	72.0
WP1984	TFs_Hypergeom	0.389	72.0
WP474	Target_Hypergeom	0.99	72.0
WP4262	Target_Hypergeom	0.987	72.5
WP560	TFs_Hypergeom	0.474	73.0
WP1530	Target_Hypergeom	0.971	74.0
WP3599	TFs_Hypergeom	0.269	74.0
WP2814	Target_Hypergeom	0.994	75.0
WP2873	Target_Hypergeom	0.973	75.0
WP4970	Target_Hypergeom	0.986	75.5
WP4816	TFs_Hypergeom	0.474	76.75
WP3594	TFs_Hypergeom	0.467	78.0
WP2037	Target_Hypergeom	0.988	78.0
WP437	TFs_Hypergeom	0.373	78.5
WP4484	Target_Hypergeom	0.951	78.75
WP4494	Target_Hypergeom	0.933	79.5
WP2032	Target_Hypergeom	0.99	80.0
WP2815	Target_Hypergeom	0.994	80.0
WP734	TFs_Hypergeom	0.201	81.0
WP49	Target_Hypergeom	0.996	81.0
WP3303	Target_Hypergeom	0.985	81.5
WP138	TFs_Hypergeom	0.515	82.5
WP1772	Target_Hypergeom	0.938	83.0
WP3287	Target_Hypergeom	0.979	85.0
WP4482	TFs_Hypergeom	0.214	85.5
WP2882	TFs_Hypergeom	0.332	86.0
WP2446	Target_Hypergeom	0.924	86.5
WP4891	Target_Hypergeom	0.911	88.0
WP2817	TFs_Hypergeom	0.319	88.25
WP2572	Target_Hypergeom	0.98	89.0
WP3972	TFs_Hypergeom	0.257	89.0
WP5094	TFs_Hypergeom	0.314	89.25
WP437	Target_Hypergeom	0.99	89.5
WP395	TFs_Hypergeom	0.434	90.5
WP69	Target_Hypergeom	0.967	90.5
WP4879	TFs_Hypergeom	0.417	92.5
WP3527	TFs_Hypergeom	0.443	92.75
WP170	Target_Hypergeom	0.977	93.0
WP4262	TFs_Hypergeom	0.289	94.0
WP3640	Target_Hypergeom	0.993	94.25
WP4685	Target_Hypergeom	0.985	95.0
WP2324	TFs_Hypergeom	0.44	95.25
WP2355	TFs_Hypergeom	0.473	95.5
WP5113	Target_Hypergeom	0.941	96.0
WP2203	TFs_Hypergeom	0.344	96.25
WP712	TFs_Hypergeom	0.167	96.5
WP2374	TFs_Hypergeom	0.425	97.75
WP53	TFs_Hypergeom	0.304	98.0
WP1539	Target_Hypergeom	0.97	98.0
WP710	TFs_Hypergeom	0.333	100.25
WP3892	TFs_Hypergeom	0.514	101.0
WP23	Target_Hypergeom	0.957	101.25
WP5102	TFs_Hypergeom	0.239	101.5
WP4149	Target_Hypergeom	0.98	102.0
WP2034	Target_Hypergeom	0.949	102.0
WP453	Target_Hypergeom	0.918	102.5
WP3646	TFs_Hypergeom	0.339	102.5
WP4879	Target_Hypergeom	0.965	103.0
WP4331	TFs_Hypergeom	0.279	103.5
WP5095	Target_Hypergeom	0.833	105.0
WP5083	Target_Hypergeom	0.959	105.0
WP399	Target_Hypergeom	0.993	105.0
WP3651	Target_Hypergeom	0.989	106.0
WP3863	Target_Hypergeom	0.945	107.0
WP3893	Target_Hypergeom	0.928	107.5
WP4747	Target_Hypergeom	0.982	108.0
WP34	TFs_Hypergeom	0.224	108.0
WP15	Target_Hypergeom	0.925	108.0
WP127	TFs_Hypergeom	0.275	108.5
WP1591	TFs_Hypergeom	0.318	109.0
WP286	Target_Hypergeom	0.963	109.5
WP2516	Target_Hypergeom	0.923	110.75
WP2034	TFs_Hypergeom	0.406	111.75
WP2380	TFs_Hypergeom	0.19	112.0
WP4754	TFs_Hypergeom	0.222	115.0
WP4541	Target_Hypergeom	0.957	115.0
WP2018	TFs_Hypergeom	0.329	116.0
WP4844	TFs_Hypergeom	0.263	116.0
WP5087	Target_NonCentral	0.248	117.0
WP3888	TFs_Hypergeom	0.251	117.5
WP2855	TFs_Hypergeom	0.19	117.75
WP4136	Target_Hypergeom	0.864	118.25
WP619	Target_Hypergeom	0.884	118.5
WP3932	Target_NonCentral	0.253	119.0
WP2865	Target_Hypergeom	0.9	120.0
WP2813	Target_Hypergeom	0.988	121.0
WP2586	TFs_Hypergeom	0.267	121.0
WP4462	Target_Hypergeom	0.807	121.25
WP4018	Target_Hypergeom	0.933	122.0
WP399	TFs_Hypergeom	0.371	123.0
WP4341	TFs_Hypergeom	0.354	123.0
WP2023	TFs_Hypergeom	0.293	123.25
WP49	TFs_Hypergeom	0.223	123.5
WP2817	Target_Hypergeom	0.971	123.75
WP382	TFs_Hypergeom	0.286	124.0
WP2018	Target_Hypergeom	0.935	124.0
WP2895	TFs_Hypergeom	0.154	124.25
WP4542	TFs_Hypergeom	0.169	125.5
WP4331	Target_Hypergeom	0.938	126.0
WP5039	Target_Hypergeom	0.85	126.5
WP1971	TFs_Hypergeom	0.206	127.25
WP395	Target_Hypergeom	0.934	127.5
WP2332	Target_Hypergeom	0.94	127.75
WP4880	TFs_Hypergeom	0.184	127.75
WP289	TFs_Hypergeom	0.155	128.0
WP2877	TFs_Hypergeom	0.207	129.0
WP69	TFs_Hypergeom	0.346	129.5
