annotation_id	typeOfAnalysis	p_times	ranking
hsa05200	Target_Hypergeom	0.935	3.0
hsa05202	Target_Hypergeom	0.865	20.0
hsa04151	Target_Hypergeom	0.807	23.0
hsa05205	Target_Hypergeom	0.853	23.0
hsa05166	Target_Hypergeom	0.771	25.0
hsa04933	Target_Hypergeom	0.767	27.0
hsa05219	Target_Hypergeom	0.738	28.0
hsa05215	Target_Hypergeom	0.786	30.5
hsa05222	Target_Hypergeom	0.754	31.0
hsa05163	Target_Hypergeom	0.763	32.0
hsa05417	Target_Hypergeom	0.737	33.0
hsa04218	Target_Hypergeom	0.767	34.0
hsa05202	TFs_Hypergeom	0.258	34.0
hsa05161	Target_Hypergeom	0.735	34.0
hsa05200	TFs_Hypergeom	0.211	35.0
hsa01522	Target_Hypergeom	0.767	36.0
hsa04066	Target_Hypergeom	0.76	36.0
hsa05210	Target_Hypergeom	0.771	37.25
hsa05212	Target_Hypergeom	0.738	37.5
hsa05220	Target_Hypergeom	0.753	37.5
hsa05167	Target_Hypergeom	0.732	38.0
hsa05169	Target_Hypergeom	0.701	38.0
hsa05225	Target_Hypergeom	0.772	40.0
hsa04630	Target_Hypergeom	0.662	41.0
hsa05226	Target_Hypergeom	0.742	42.0
hsa04115	Target_Hypergeom	0.68	42.0
hsa05418	Target_Hypergeom	0.682	44.0
hsa04510	Target_Hypergeom	0.748	44.0
hsa05206	Target_Hypergeom	0.72	48.5
hsa05224	Target_Hypergeom	0.709	49.0
hsa04068	Target_Hypergeom	0.69	50.0
hsa05165	Target_Hypergeom	0.688	50.0
hsa05223	Target_Hypergeom	0.704	50.0
hsa05162	Target_Hypergeom	0.622	51.0
hsa04010	Target_Hypergeom	0.678	53.5
hsa05213	Target_Hypergeom	0.718	54.0
hsa05218	Target_Hypergeom	0.679	54.0
hsa04210	Target_Hypergeom	0.617	57.0
hsa05160	Target_Hypergeom	0.603	59.0
hsa05216	Target_Hypergeom	0.682	59.0
hsa05203	Target_Hypergeom	0.65	60.0
hsa04110	Target_Hypergeom	0.658	60.0
hsa05221	Target_Hypergeom	0.67	60.25
hsa05214	Target_Hypergeom	0.642	62.0
hsa05142	Target_Hypergeom	0.554	65.0
hsa04659	Target_Hypergeom	0.574	65.0
hsa01521	Target_Hypergeom	0.611	65.0
hsa04928	Target_Hypergeom	0.66	66.0
hsa05131	Target_Hypergeom	0.654	67.0
hsa04390	Target_Hypergeom	0.675	68.0
hsa04668	Target_Hypergeom	0.556	68.0
hsa04934	Target_Hypergeom	0.602	70.0
hsa05140	Target_Hypergeom	0.538	71.0
hsa01524	Target_Hypergeom	0.556	71.0
hsa05207	Target_Hypergeom	0.6	71.0
hsa04380	Target_Hypergeom	0.539	72.0
hsa05135	Target_Hypergeom	0.564	73.25
hsa05145	Target_Hypergeom	0.535	75.0
hsa05321	Target_Hypergeom	0.523	77.0
hsa04657	Target_Hypergeom	0.507	80.0
hsa04917	Target_Hypergeom	0.535	80.75
hsa04015	Target_Hypergeom	0.535	84.0
hsa04625	Target_Hypergeom	0.507	84.0
hsa04520	Target_Hypergeom	0.549	85.0
hsa04810	Target_NonCentral	0.118	86.0
hsa04310	Target_Hypergeom	0.525	87.5
hsa04919	Target_Hypergeom	0.509	88.0
hsa04915	Target_Hypergeom	0.497	88.75
hsa04921	Target_Hypergeom	0.487	89.0
hsa04926	Target_Hypergeom	0.465	89.0
hsa04152	Target_Hypergeom	0.48	89.0
hsa04064	Target_Hypergeom	0.47	90.75
hsa04022	Target_NonCentral	0.134	91.0
hsa05143	Target_Hypergeom	0.423	92.0
hsa05323	Target_Hypergeom	0.457	93.0
hsa05230	Target_Hypergeom	0.476	94.0
hsa05146	Target_Hypergeom	0.464	94.0
hsa04931	Target_Hypergeom	0.456	95.0
hsa04660	Target_Hypergeom	0.485	95.0
hsa05412	Target_NonCentral	0.105	95.5
hsa04371	Target_Hypergeom	0.433	96.0
hsa04514	Target_NonCentral	0.149	96.0
hsa04658	Target_Hypergeom	0.487	96.75
hsa04024	Target_NonCentral	0.084	97.0
hsa04015	Target_NonCentral	0.118	97.0
hsa04072	Target_NonCentral	0.084	98.0
hsa05164	Target_Hypergeom	0.453	99.0
hsa04666	Target_NonCentral	0.119	100.0
hsa05152	Target_Hypergeom	0.422	100.0
hsa04012	Target_Hypergeom	0.405	100.0
hsa05144	Target_Hypergeom	0.452	101.0
hsa04071	Target_Hypergeom	0.394	101.75
hsa04261	Target_NonCentral	0.085	102.0
hsa05211	Target_Hypergeom	0.441	102.25
hsa04062	Target_NonCentral	0.127	102.5
hsa04913	Target_Hypergeom	0.418	103.0
hsa05130	Target_Hypergeom	0.421	103.0
hsa04930	Target_NonCentral	0.092	103.0
hsa04925	Target_NonCentral	0.101	104.0
hsa04611	Target_NonCentral	0.091	104.0
hsa05133	Target_Hypergeom	0.425	104.75
hsa04670	Target_Hypergeom	0.373	105.0
hsa04911	Target_NonCentral	0.096	106.5
hsa04922	Target_NonCentral	0.075	108.0
hsa04910	Target_NonCentral	0.102	108.5
hsa05203	Target_NonCentral	0.115	109.0
hsa05416	Target_Hypergeom	0.397	109.0
hsa04927	Target_NonCentral	0.083	109.0
hsa05414	Target_NonCentral	0.058	109.0
hsa04931	Target_NonCentral	0.122	110.0
hsa04670	Target_NonCentral	0.092	110.0
hsa04916	Target_NonCentral	0.108	110.0
hsa04512	Target_NonCentral	0.115	110.0
hsa05221	Target_NonCentral	0.067	110.0
hsa04530	Target_Hypergeom	0.362	110.0
hsa04152	Target_NonCentral	0.12	111.0
hsa04510	Target_NonCentral	0.093	111.5
hsa04380	Target_NonCentral	0.086	112.0
hsa04014	Target_Hypergeom	0.347	112.0
hsa05202	Target_NonCentral	0.079	112.0
hsa04932	Target_Hypergeom	0.347	112.0
hsa05165	Target_NonCentral	0.117	112.5
hsa04934	Target_NonCentral	0.078	113.0
hsa04810	Target_Hypergeom	0.361	113.0
hsa04350	Target_Hypergeom	0.35	113.75
hsa05235	Target_Hypergeom	0.375	114.0
hsa04010	Target_NonCentral	0.09	115.0
hsa05170	Target_Hypergeom	0.383	115.0
hsa04020	Target_NonCentral	0.089	115.0
hsa04640	Target_Hypergeom	0.397	115.0
hsa05410	Target_Hypergeom	0.359	116.0
hsa04550	Target_NonCentral	0.089	116.0
hsa04370	Target_Hypergeom	0.342	116.0
hsa05132	Target_Hypergeom	0.327	116.0
hsa04211	Target_Hypergeom	0.321	116.25
hsa04360	Target_NonCentral	0.118	116.5
hsa04151	Target_NonCentral	0.14	116.5
hsa04935	Target_NonCentral	0.059	116.5
hsa05330	Target_Hypergeom	0.406	117.0
hsa04072	Target_Hypergeom	0.331	117.0
hsa04390	Target_NonCentral	0.076	117.5
hsa04935	Target_Hypergeom	0.332	118.0
hsa04270	Target_NonCentral	0.063	118.0
hsa05017	Target_NonCentral	0.055	118.0
hsa04919	Target_NonCentral	0.079	118.5
hsa05410	Target_NonCentral	0.051	119.0
hsa04020	Target_Hypergeom	0.321	119.0
hsa04960	Target_NonCentral	0.049	119.5
hsa04929	Target_NonCentral	0.068	119.5
hsa04611	Target_Hypergeom	0.334	120.0
hsa04927	Target_Hypergeom	0.307	121.0
hsa04213	Target_NonCentral	0.074	121.0
hsa04920	Target_NonCentral	0.138	122.0
hsa04150	Target_NonCentral	0.07	122.0
hsa04620	Target_Hypergeom	0.402	123.0
hsa04371	Target_NonCentral	0.036	123.0
hsa04014	Target_NonCentral	0.069	123.0
hsa04550	Target_Hypergeom	0.3	123.5
hsa05100	Target_Hypergeom	0.314	123.5
hsa04071	Target_NonCentral	0.052	124.0
hsa05200	Target_NonCentral	0.132	125.0
hsa05135	Target_NonCentral	0.058	126.0
hsa04330	Target_NonCentral	0.091	126.0
hsa04961	Target_NonCentral	0.073	126.0
hsa04928	Target_NonCentral	0.032	126.0
hsa04310	Target_NonCentral	0.05	127.0
hsa04650	Target_NonCentral	0.076	127.0
hsa04520	Target_NonCentral	0.042	127.5
hsa04930	Target_Hypergeom	0.275	127.5
hsa05231	Target_Hypergeom	0.265	127.75
hsa05166	Target_NonCentral	0.134	128.0
hsa05415	Target_NonCentral	0.061	128.0
hsa04970	Target_NonCentral	0.027	128.0
hsa04060	Target_Hypergeom	0.365	128.0
hsa05130	Target_NonCentral	0.022	128.5
hsa04664	Target_Hypergeom	0.322	129.0
hsa04024	Target_Hypergeom	0.255	129.0
hsa04664	Target_NonCentral	0.08	129.0
hsa04211	Target_NonCentral	0.059	129.0
hsa04925	Target_Hypergeom	0.273	129.75
hsa04621	Target_Hypergeom	0.32	130.0
hsa05414	Target_Hypergeom	0.259	130.0
hsa04530	Target_NonCentral	0.065	130.0
hsa05145	Target_NonCentral	0.111	130.0
hsa05230	Target_NonCentral	0.059	130.0
hsa04662	Target_NonCentral	0.055	130.5
hsa05231	Target_NonCentral	0.033	131.0
hsa05417	Target_NonCentral	0.145	131.0
hsa04924	Target_NonCentral	0.031	131.0
hsa01100	Target_NonCentral	0.104	131.5
hsa04662	Target_Hypergeom	0.298	131.5
hsa04062	Target_Hypergeom	0.274	132.0
hsa04215	Target_Hypergeom	0.321	132.0
hsa04918	Target_NonCentral	0.05	132.0
hsa04923	Target_NonCentral	0.032	132.0
hsa04640	Target_NonCentral	0.165	132.5
hsa05416	Target_NonCentral	0.058	133.0
hsa05131	Target_NonCentral	0.033	133.0
hsa04750	Target_NonCentral	0.06	133.0
hsa05235	Target_NonCentral	0.049	133.0
hsa04650	Target_Hypergeom	0.303	133.0
hsa04912	Target_Hypergeom	0.237	133.25
hsa04722	Target_Hypergeom	0.261	133.5
hsa04728	Target_NonCentral	0.038	134.0
hsa04613	Target_NonCentral	0.06	134.0
hsa05215	Target_NonCentral	0.085	134.0
hsa05217	Target_Hypergeom	0.247	134.0
hsa01523	Target_Hypergeom	0.297	134.0
hsa05412	Target_Hypergeom	0.252	134.5
hsa05222	Target_NonCentral	0.112	135.0
hsa04120	Target_NonCentral	0.039	135.0
hsa05010	Target_NonCentral	0.061	135.0
hsa05161	Target_NonCentral	0.078	135.0
hsa04137	Target_Hypergeom	0.278	135.0
hsa04145	Target_NonCentral	0.111	136.0
hsa05134	Target_Hypergeom	0.339	136.0
hsa04971	Target_NonCentral	0.029	137.0
hsa04914	Target_NonCentral	0.078	137.0
hsa04070	Target_NonCentral	0.077	137.0
hsa04022	Target_Hypergeom	0.247	137.0
hsa05100	Target_NonCentral	0.041	137.5
hsa04722	Target_NonCentral	0.03	137.5
hsa04917	Target_NonCentral	0.071	137.5
hsa04350	Target_NonCentral	0.03	138.0
hsa00230	Target_NonCentral	0.049	138.0
hsa04068	Target_NonCentral	0.1	138.0
hsa04140	Target_NonCentral	0.03	138.0
hsa04137	Target_NonCentral	0.039	138.0
hsa05205	Target_NonCentral	0.03	138.0
hsa05031	Target_NonCentral	0.023	139.0
hsa04217	Target_Hypergeom	0.295	139.0
hsa05415	Target_Hypergeom	0.25	139.0
hsa04144	Target_NonCentral	0.051	139.0
hsa01240	Target_NonCentral	0.065	139.0
hsa04218	Target_NonCentral	0.092	139.0
hsa05223	Target_NonCentral	0.039	139.0
hsa05132	Target_NonCentral	0.049	139.0
hsa04210	Target_NonCentral	0.093	139.0
hsa04672	Target_Hypergeom	0.373	139.25
hsa04370	Target_NonCentral	0.022	139.5
hsa04972	Target_NonCentral	0.027	140.5
hsa05160	Target_NonCentral	0.122	141.0
hsa05213	Target_NonCentral	0.058	141.0
hsa05220	Target_NonCentral	0.049	141.0
hsa05163	Target_NonCentral	0.065	141.0
hsa05170	Target_NonCentral	0.086	141.0
hsa05169	Target_NonCentral	0.153	142.0
hsa04064	Target_NonCentral	0.121	142.0
hsa04932	Target_NonCentral	0.057	142.0
hsa04913	Target_NonCentral	0.074	142.0
hsa04012	Target_NonCentral	0.029	142.0
hsa04920	Target_Hypergeom	0.271	142.0
hsa05167	Target_NonCentral	0.097	142.0
hsa04974	Target_NonCentral	0.077	142.5
hsa01521	Target_NonCentral	0.058	142.5
hsa04724	Target_NonCentral	0.074	143.0
hsa04940	Target_Hypergeom	0.336	143.0
hsa04725	Target_NonCentral	0.035	143.5
hsa05120	Target_Hypergeom	0.21	143.5
hsa04978	Target_NonCentral	0.033	144.0
hsa04713	Target_NonCentral	0.045	144.0
hsa04659	Target_NonCentral	0.092	144.0
hsa04217	Target_NonCentral	0.096	144.0
hsa04540	Target_NonCentral	0.018	144.0
hsa05332	Target_Hypergeom	0.319	144.0
hsa04725	Target_Hypergeom	0.207	144.25
hsa04730	Target_NonCentral	0.033	144.5
hsa05146	Target_NonCentral	0.067	144.5
hsa05208	Target_Hypergeom	0.202	145.0
hsa05217	Target_NonCentral	0.071	145.0
hsa04114	Target_NonCentral	0.045	145.0
hsa05152	Target_NonCentral	0.138	146.0
hsa05320	Target_Hypergeom	0.334	146.0
hsa04140	Target_Hypergeom	0.182	146.0
hsa05226	Target_NonCentral	0.056	146.0
hsa04921	Target_NonCentral	0.011	146.0
hsa05225	Target_NonCentral	0.051	146.5
hsa04144	Target_Hypergeom	0.188	147.0
hsa04912	Target_NonCentral	0.019	147.0
hsa04061	Target_Hypergeom	0.314	147.0
hsa05214	Target_NonCentral	0.043	147.0
hsa05224	Target_NonCentral	0.059	147.0
hsa05212	Target_NonCentral	0.048	147.0
hsa04610	Target_NonCentral	0.085	147.5
hsa00140	Target_NonCentral	0.156	147.5
hsa05216	Target_NonCentral	0.029	148.0
hsa04973	Target_NonCentral	0.067	148.5
