annotation_id	typeOfAnalysis	p_times	ranking
WP304	Target_Hypergeom	0.618	160.0
WP4482	Target_Hypergeom	0.582	160.0
WP395	Target_Hypergeom	0.591	160.5
WP2018	Target_Hypergeom	0.599	161.0
WP4141	Target_Hypergeom	0.558	161.25
WP3892	Target_Hypergeom	0.571	162.0
WP2064	Target_Hypergeom	0.594	165.0
WP2865	Target_Hypergeom	0.567	166.0
WP289	Target_Hypergeom	0.615	167.5
WP712	Target_Hypergeom	0.626	167.75
WP4018	Target_Hypergeom	0.593	168.0
WP382	Target_Hypergeom	0.59	170.0
WP313	Target_Hypergeom	0.578	171.5
WP408	Target_Hypergeom	0.577	173.0
WP4331	Target_Hypergeom	0.563	173.0
WP3599	Target_Hypergeom	0.572	174.25
WP4540	Target_Hypergeom	0.566	175.0
WP4496	Target_Hypergeom	0.548	175.25
WP2877	Target_NonCentral	0.194	175.5
WP2380	Target_Hypergeom	0.57	176.0
WP3915	Target_NonCentral	0.107	177.0
WP3872	Target_Hypergeom	0.524	178.75
WP3594	Target_Hypergeom	0.566	180.0
WP2036	Target_Hypergeom	0.537	180.75
WP51	Target_NonCentral	0.106	181.0
WP3672	Target_Hypergeom	0.601	181.25
WP3995	Target_Hypergeom	0.571	181.5
WP4481	Target_Hypergeom	0.532	181.75
WP4136	Target_Hypergeom	0.52	183.5
WP5039	Target_Hypergeom	0.53	184.0
WP34	Target_Hypergeom	0.568	185.0
WP2870	Target_Hypergeom	0.532	187.0
WP619	Target_Hypergeom	0.546	187.5
WP185	Target_NonCentral	0.122	188.5
WP364	Target_Hypergeom	0.499	188.5
WP3929	Target_NonCentral	0.133	189.5
WP2880	Target_Hypergeom	0.53	190.0
WP4864	Target_Hypergeom	0.511	190.25
WP4217	Target_Hypergeom	0.532	193.0
WP4928	Target_Hypergeom	0.524	193.25
WP1403	Target_Hypergeom	0.489	193.25
WP4969	Target_Hypergeom	0.503	194.5
WP1449	Target_Hypergeom	0.526	194.5
WP428	Target_Hypergeom	0.54	195.0
WP3969	Target_Hypergeom	0.52	195.0
WP75	Target_Hypergeom	0.513	195.0
WP3998	Target_Hypergeom	0.558	195.5
WP4483	Target_Hypergeom	0.553	196.0
WP4564	Target_Hypergeom	0.552	196.25
WP4559	Target_Hypergeom	0.496	196.5
WP3888	Target_NonCentral	0.069	197.0
WP3657	Target_Hypergeom	0.513	197.75
WP2858	Target_Hypergeom	0.513	197.75
WP3612	Target_Hypergeom	0.547	198.0
WP306	Target_NonCentral	0.102	198.0
WP5092	Target_Hypergeom	0.498	198.25
WP2118	Target_NonCentral	0.076	198.5
WP2858	Target_NonCentral	0.098	200.0
WP4790	Target_Hypergeom	0.495	200.5
WP5087	Target_NonCentral	0.163	201.0
WP4172	Target_NonCentral	0.17	201.5
WP4241	Target_Hypergeom	0.505	201.5
WP23	Target_NonCentral	0.101	202.5
WP2848	Target_Hypergeom	0.507	202.5
WP4478	Target_Hypergeom	0.488	202.5
WP2881	Target_Hypergeom	0.489	203.25
WP231	Target_Hypergeom	0.486	204.0
WP4787	Target_NonCentral	0.09	204.0
WP2380	Target_NonCentral	0.079	204.0
WP2853	Target_NonCentral	0.084	204.5
WP4258	Target_Hypergeom	0.511	205.0
WP4565	Target_Hypergeom	0.522	206.0
WP3859	Target_Hypergeom	0.457	206.25
WP3941	Target_Hypergeom	0.495	207.0
WP1545	Target_Hypergeom	0.526	207.0
WP585	Target_NonCentral	0.069	207.5
WP4844	Target_Hypergeom	0.493	207.75
WP5063	Target_Hypergeom	0.466	208.25
WP4149	Target_NonCentral	0.072	211.0
WP4541	Target_NonCentral	0.072	211.5
WP236	Target_NonCentral	0.116	212.0
WP481	Target_NonCentral	0.057	213.0
WP2526	Target_Hypergeom	0.463	213.0
WP4495	Target_Hypergeom	0.49	213.0
WP395	Target_NonCentral	0.079	215.0
WP299	Target_Hypergeom	0.497	215.75
WP2406	Target_NonCentral	0.05	217.5
WP1544	Target_Hypergeom	0.442	218.0
WP4560	Target_Hypergeom	0.445	218.0
WP2857	Target_Hypergeom	0.456	219.0
WP437	Target_NonCentral	0.076	219.5
WP4539	Target_NonCentral	0.108	221.0
WP4217	Target_NonCentral	0.109	221.0
WP304	Target_NonCentral	0.05	221.0
WP3929	Target_Hypergeom	0.416	222.0
WP5121	Target_Hypergeom	0.461	222.0
WP244	Target_NonCentral	0.05	223.5
WP5044	Target_Hypergeom	0.454	223.5
WP1528	Target_Hypergeom	0.458	223.5
WP4493	Target_Hypergeom	0.467	223.5
WP400	Target_NonCentral	0.026	224.0
WP3850	Target_Hypergeom	0.426	224.25
WP4542	Target_NonCentral	0.077	224.5
WP4698	Target_Hypergeom	0.438	225.75
WP1541	Target_NonCentral	0.072	227.5
WP3972	Target_Hypergeom	0.423	227.5
WP5094	Target_NonCentral	0.1	228.0
WP5053	Target_Hypergeom	0.42	228.25
WP4462	Target_Hypergeom	0.461	228.75
WP4396	Target_Hypergeom	0.446	228.75
WP481	Target_Hypergeom	0.42	230.0
WP3594	Target_NonCentral	0.106	230.0
WP3584	Target_NonCentral	0.061	230.0
WP4399	Target_Hypergeom	0.46	230.25
WP4658	Target_NonCentral	0.165	230.5
WP129	Target_Hypergeom	0.43	231.0
WP366	Target_NonCentral	0.04	231.0
WP2038	Target_NonCentral	0.026	231.0
WP1403	Target_NonCentral	0.092	231.0
WP3527	Target_NonCentral	0.061	232.0
WP4538	Target_NonCentral	0.081	233.0
WP3945	Target_NonCentral	0.091	233.0
WP2507	Target_Hypergeom	0.428	233.75
WP3678	Target_Hypergeom	0.417	234.5
WP5122	Target_Hypergeom	0.398	234.75
WP2037	Target_NonCentral	0.071	235.0
WP4336	Target_Hypergeom	0.406	235.5
WP4008	Target_Hypergeom	0.412	235.75
WP3845	Target_NonCentral	0.075	236.0
WP4141	Target_NonCentral	0.074	236.0
WP4875	Target_NonCentral	0.103	236.5
WP2355	Target_NonCentral	0.052	236.5
WP2018	Target_NonCentral	0.073	237.0
WP5124	Target_NonCentral	0.069	237.0
WP4480	Target_Hypergeom	0.459	237.5
WP2203	Target_NonCentral	0.047	237.5
WP364	Target_NonCentral	0.156	238.0
WP5115	Target_NonCentral	0.21	238.0
WP12	Target_NonCentral	0.05	238.5
WP4357	Target_Hypergeom	0.415	238.75
WP706	Target_NonCentral	0.07	239.0
WP4239	Target_NonCentral	0.059	239.0
WP4963	Target_Hypergeom	0.414	241.0
WP61	Target_NonCentral	0.043	241.0
WP4288	Target_NonCentral	0.048	241.5
WP4561	Target_Hypergeom	0.395	241.5
WP3657	Target_NonCentral	0.031	242.5
WP2806	Target_NonCentral	0.115	242.5
WP363	Target_NonCentral	0.037	243.0
WP4871	Target_Hypergeom	0.397	243.25
WP3892	Target_NonCentral	0.069	243.5
WP2032	Target_NonCentral	0.039	243.5
WP2637	Target_Hypergeom	0.368	244.0
WP3640	Target_NonCentral	0.025	244.0
WP428	Target_NonCentral	0.031	244.0
WP3996	Target_NonCentral	0.05	244.0
WP4148	Target_NonCentral	0.11	244.0
WP2332	Target_NonCentral	0.067	245.0
WP1544	Target_NonCentral	0.056	245.5
WP2011	Target_Hypergeom	0.416	246.0
WP2864	Target_NonCentral	0.075	246.0
WP69	Target_NonCentral	0.08	246.5
WP4746	Target_NonCentral	0.09	246.5
WP4522	Target_Hypergeom	0.415	247.0
WP4874	Target_Hypergeom	0.337	247.0
WP4879	Target_NonCentral	0.065	247.0
WP4919	Target_Hypergeom	0.409	247.25
WP4155	Target_NonCentral	0.088	247.5
WP4970	Target_NonCentral	0.062	247.5
WP5090	Target_NonCentral	0.041	248.0
WP4808	Target_NonCentral	0.058	248.0
WP474	Target_NonCentral	0.058	248.0
WP4239	Target_Hypergeom	0.371	248.0
WP51	Target_Hypergeom	0.372	248.5
WP5053	Target_NonCentral	0.074	249.0
WP2324	Target_NonCentral	0.088	249.0
WP1946	Target_NonCentral	0.083	249.5
WP4534	Target_NonCentral	0.061	250.0
WP4540	Target_NonCentral	0.066	251.0
WP3658	Target_NonCentral	0.069	251.0
WP53	Target_NonCentral	0.103	251.5
WP516	Target_Hypergeom	0.366	251.5
WP2795	Target_NonCentral	0.024	251.5
WP399	Target_NonCentral	0.044	252.0
