annotation_id	typeOfAnalysis	p_times	ranking
WP4659	Target_Hypergeom	0.881	20.0
WP5087	Target_Hypergeom	0.823	21.5
WP3646	Target_Hypergeom	0.77	29.0
WP3611	Target_Hypergeom	0.745	30.0
WP2431	Target_Hypergeom	0.738	39.0
WP710	Target_Hypergeom	0.776	40.0
WP2828	Target_Hypergeom	0.73	42.0
WP366	Target_Hypergeom	0.805	43.0
WP5094	Target_Hypergeom	0.765	45.0
WP2261	Target_Hypergeom	0.783	46.0
WP4172	Target_Hypergeom	0.693	47.0
WP4216	Target_Hypergeom	0.748	51.0
WP4658	Target_Hypergeom	0.704	52.0
WP236	Target_Hypergeom	0.75	52.0
WP615	Target_Hypergeom	0.661	54.0
WP2586	Target_Hypergeom	0.724	55.0
WP4674	Target_Hypergeom	0.735	56.0
WP3617	Target_Hypergeom	0.624	60.5
WP1984	Target_Hypergeom	0.682	61.0
WP4263	Target_Hypergeom	0.705	62.0
WP4754	Target_Hypergeom	0.627	63.0
WP5098	Target_Hypergeom	0.66	63.25
WP2882	Target_Hypergeom	0.663	64.0
WP3888	Target_Hypergeom	0.74	67.0
WP4806	Target_Hypergeom	0.686	69.5
WP306	Target_Hypergeom	0.7	70.0
WP1971	Target_Hypergeom	0.672	70.0
WP4155	Target_Hypergeom	0.716	70.25
WP4666	Target_Hypergeom	0.649	71.0
WP4298	Target_Hypergeom	0.64	71.0
WP1742	Target_Hypergeom	0.69	73.0
WP707	Target_Hypergeom	0.649	73.0
WP2814	Target_Hypergeom	0.678	74.0
WP254	Target_Hypergeom	0.606	75.0
WP4262	Target_Hypergeom	0.635	81.0
WP2374	Target_Hypergeom	0.606	81.0
WP5055	Target_Hypergeom	0.586	82.0
WP236	TFs_Hypergeom	0.225	85.5
WP45	Target_Hypergeom	0.641	86.0
WP49	Target_Hypergeom	0.654	87.25
WP4255	Target_Hypergeom	0.657	87.5
WP2864	Target_Hypergeom	0.644	89.0
WP3624	Target_Hypergeom	0.564	90.5
WP5115	Target_Hypergeom	0.572	91.0
WP2355	Target_Hypergeom	0.62	92.75
WP138	Target_Hypergeom	0.623	95.0
WP4685	Target_Hypergeom	0.614	97.0
WP3932	Target_Hypergeom	0.566	98.0
WP2815	Target_Hypergeom	0.572	99.0
WP4970	Target_Hypergeom	0.621	99.75
WP2877	Target_Hypergeom	0.593	102.0
WP1530	Target_Hypergeom	0.573	104.0
WP2324	Target_Hypergeom	0.552	104.0
WP2032	Target_Hypergeom	0.598	105.75
WP2813	Target_Hypergeom	0.66	106.25
WP179	Target_Hypergeom	0.6	107.0
WP3614	Target_Hypergeom	0.537	109.25
WP2849	Target_Hypergeom	0.579	111.75
WP560	Target_Hypergeom	0.574	112.0
WP3640	Target_Hypergeom	0.638	112.5
WP2817	Target_Hypergeom	0.568	113.5
WP399	Target_Hypergeom	0.609	113.5
WP3303	Target_Hypergeom	0.533	113.5
WP4816	Target_Hypergeom	0.569	114.0
WP706	Target_Hypergeom	0.519	115.0
WP3287	Target_Hypergeom	0.542	119.0
WP2572	Target_Hypergeom	0.541	123.5
WP2037	Target_Hypergeom	0.568	123.75
WP363	Target_Hypergeom	0.568	124.25
WP205	Target_Hypergeom	0.564	124.5
WP673	Target_Hypergeom	0.567	124.75
WP3680	Target_Hypergeom	0.548	125.5
WP176	Target_Hypergeom	0.506	125.5
WP3651	Target_Hypergeom	0.566	127.25
WP4341	Target_Hypergeom	0.534	128.0
WP2446	Target_Hypergeom	0.551	129.0
WP127	Target_Hypergeom	0.517	131.0
WP4541	Target_Hypergeom	0.528	134.0
WP474	Target_Hypergeom	0.504	137.0
WP4808	Target_Hypergeom	0.504	137.0
WP61	Target_Hypergeom	0.542	137.75
WP437	Target_Hypergeom	0.51	140.0
WP2328	Target_Hypergeom	0.493	141.0
WP2873	Target_Hypergeom	0.479	142.0
WP2034	Target_Hypergeom	0.477	143.0
WP4879	Target_Hypergeom	0.474	143.0
WP69	Target_Hypergeom	0.467	144.0
WP1533	Target_Hypergeom	0.481	145.5
WP1772	Target_Hypergeom	0.483	147.0
WP286	Target_Hypergeom	0.486	147.25
WP2839	Target_Hypergeom	0.501	148.0
WP2840	Target_Hypergeom	0.471	148.5
WP5083	Target_Hypergeom	0.475	149.0
WP3658	Target_Hypergeom	0.507	150.5
WP170	Target_Hypergeom	0.459	150.75
WP530	Target_Hypergeom	0.46	151.75
WP3981	Target_Hypergeom	0.483	153.25
WP3863	Target_Hypergeom	0.475	157.25
WP5097	Target_Hypergeom	0.424	160.0
WP712	Target_Hypergeom	0.489	160.0
WP2064	Target_Hypergeom	0.427	161.0
WP1539	Target_Hypergeom	0.452	161.5
WP4747	Target_Hypergeom	0.439	163.0
WP23	Target_Hypergeom	0.462	163.75
WP3932	Target_NonCentral	0.152	166.0
WP382	Target_Hypergeom	0.417	170.0
WP4149	Target_Hypergeom	0.431	171.5
WP2878	Target_Hypergeom	0.498	172.75
WP3915	Target_NonCentral	0.123	173.0
WP2203	Target_Hypergeom	0.412	173.5
WP1545	Target_Hypergeom	0.456	175.0
