annotation_id	typeOfAnalysis	p_times	ranking
R-HSA-6785807	Target_Hypergeom	0.979	3.0
R-HSA-162582	Target_Hypergeom	0.997	4.0
R-HSA-449147	Target_Hypergeom	0.932	7.0
R-HSA-1280215	Target_Hypergeom	0.912	8.0
R-HSA-9006934	Target_Hypergeom	0.969	17.0
R-HSA-212436	TFs_Hypergeom	0.609	22.5
R-HSA-212436	Target_Hypergeom	0.911	24.0
R-HSA-73857	TFs_Hypergeom	0.65	25.0
R-HSA-74160	TFs_Hypergeom	0.613	29.0
R-HSA-73857	Target_Hypergeom	0.852	39.0
R-HSA-168256	Target_Hypergeom	0.776	41.0
R-HSA-5663202	Target_Hypergeom	0.931	41.0
R-HSA-74160	Target_Hypergeom	0.851	44.0
R-HSA-1266738	TFs_Hypergeom	0.43	46.0
R-HSA-9006931	Target_Hypergeom	0.904	47.0
R-HSA-109582	Target_Hypergeom	0.852	48.0
R-HSA-9009391	Target_Hypergeom	0.87	51.5
R-HSA-9661069	Target_Hypergeom	0.817	58.75
R-HSA-9659787	Target_Hypergeom	0.817	58.75
R-HSA-9614085	Target_Hypergeom	0.803	62.0
R-HSA-8939211	Target_Hypergeom	0.863	67.0
R-HSA-8878159	Target_Hypergeom	0.883	67.0
R-HSA-162582	TFs_Hypergeom	0.184	67.0
R-HSA-9006931	TFs_Hypergeom	0.348	70.75
R-HSA-449147	TFs_Hypergeom	0.316	71.0
R-HSA-2262752	TFs_Hypergeom	0.208	72.0
R-HSA-8953897	TFs_Hypergeom	0.208	74.0
R-HSA-1280215	TFs_Hypergeom	0.216	74.0
R-HSA-383280	TFs_Hypergeom	0.531	74.75
R-HSA-9634638	Target_Hypergeom	0.845	75.0
R-HSA-1474244	Target_Hypergeom	0.738	81.5
R-HSA-3108232	TFs_Hypergeom	0.234	82.0
R-HSA-2990846	TFs_Hypergeom	0.234	83.0
R-HSA-8939211	TFs_Hypergeom	0.271	83.25
R-HSA-1643685	Target_Hypergeom	0.798	84.0
R-HSA-69236	Target_Hypergeom	0.76	86.5
R-HSA-69231	Target_Hypergeom	0.76	86.5
