annotation_id	typeOfAnalysis	p_times	ranking
hsa05200	Target_Hypergeom	1.0	2.0
hsa05202	TFs_Hypergeom	0.491	12.0
hsa05202	Target_Hypergeom	0.98	14.0
hsa05205	Target_Hypergeom	0.976	16.0
hsa04151	Target_Hypergeom	0.96	16.0
hsa04933	Target_Hypergeom	0.947	17.0
hsa05200	TFs_Hypergeom	0.324	19.0
hsa05166	Target_Hypergeom	0.952	19.0
hsa05417	Target_Hypergeom	0.925	20.0
hsa05215	Target_Hypergeom	0.959	22.0
hsa05219	Target_Hypergeom	0.934	24.0
hsa05222	Target_Hypergeom	0.937	24.5
hsa05161	Target_Hypergeom	0.947	26.0
hsa05163	Target_Hypergeom	0.946	27.0
hsa05169	Target_Hypergeom	0.893	27.0
hsa04066	Target_Hypergeom	0.932	28.0
hsa05166	TFs_Hypergeom	0.353	30.0
hsa04218	Target_Hypergeom	0.938	31.0
hsa05161	TFs_Hypergeom	0.269	32.0
hsa05167	Target_Hypergeom	0.909	33.0
hsa04115	Target_Hypergeom	0.868	33.25
hsa05220	Target_Hypergeom	0.94	34.0
hsa05210	Target_Hypergeom	0.938	34.0
hsa05212	Target_Hypergeom	0.933	34.0
hsa05418	Target_Hypergeom	0.911	35.0
hsa05162	Target_Hypergeom	0.817	36.0
hsa05225	Target_Hypergeom	0.938	36.0
hsa04630	Target_Hypergeom	0.851	36.25
hsa01522	Target_Hypergeom	0.934	37.0
hsa05226	Target_Hypergeom	0.914	39.0
hsa04510	Target_Hypergeom	0.934	40.25
hsa04659	TFs_Hypergeom	0.176	41.75
hsa04068	Target_Hypergeom	0.889	43.0
hsa05207	TFs_Hypergeom	0.246	44.0
hsa05165	Target_Hypergeom	0.896	45.0
hsa04210	Target_Hypergeom	0.84	46.0
hsa05224	Target_Hypergeom	0.885	46.0
hsa04380	TFs_Hypergeom	0.17	47.0
hsa05223	Target_Hypergeom	0.91	47.0
hsa04010	Target_Hypergeom	0.879	48.0
hsa05218	Target_Hypergeom	0.875	48.5
hsa04668	Target_Hypergeom	0.775	49.0
hsa05167	TFs_Hypergeom	0.185	49.0
hsa05206	Target_Hypergeom	0.89	49.0
hsa05321	Target_Hypergeom	0.746	50.0
hsa04110	Target_Hypergeom	0.837	51.0
hsa05142	Target_Hypergeom	0.762	52.0
hsa05213	Target_Hypergeom	0.887	53.0
hsa05160	Target_Hypergeom	0.8	54.0
hsa04659	Target_Hypergeom	0.788	56.0
hsa01521	Target_Hypergeom	0.847	56.0
hsa05214	Target_Hypergeom	0.846	56.0
hsa05203	Target_Hypergeom	0.858	57.0
hsa05221	Target_Hypergeom	0.873	59.0
hsa05140	Target_Hypergeom	0.742	59.0
hsa05145	Target_Hypergeom	0.746	61.0
hsa04390	Target_Hypergeom	0.877	62.0
hsa05135	Target_Hypergeom	0.812	62.0
hsa01524	Target_Hypergeom	0.779	62.0
hsa05216	Target_Hypergeom	0.863	64.0
hsa05131	Target_Hypergeom	0.859	65.0
hsa04657	Target_Hypergeom	0.691	66.0
hsa04928	Target_Hypergeom	0.86	67.0
hsa04380	Target_Hypergeom	0.752	68.0
hsa05207	Target_Hypergeom	0.79	68.0
hsa05203	TFs_Hypergeom	0.159	69.5
hsa04015	Target_Hypergeom	0.803	70.0
hsa04934	Target_Hypergeom	0.801	71.0
hsa05323	Target_Hypergeom	0.665	71.75
hsa05143	Target_Hypergeom	0.661	72.5
