annotation_id	typeOfAnalysis	p_times	ranking
WP4659	Target_Hypergeom	0.608	38.0
WP5087	Target_Hypergeom	0.545	46.5
WP3646	Target_Hypergeom	0.509	61.0
WP366	Target_Hypergeom	0.497	69.5
WP710	Target_Hypergeom	0.501	70.5
WP4216	Target_Hypergeom	0.464	75.25
WP5094	Target_Hypergeom	0.462	77.5
WP2431	Target_Hypergeom	0.453	81.25
WP2261	Target_Hypergeom	0.47	84.0
WP3611	Target_Hypergeom	0.453	85.0
WP4674	Target_Hypergeom	0.44	86.0
WP2828	Target_Hypergeom	0.464	86.25
WP4172	Target_Hypergeom	0.409	87.0
WP236	Target_Hypergeom	0.459	88.0
WP2882	Target_Hypergeom	0.439	90.0
WP3888	Target_Hypergeom	0.403	91.0
WP1984	Target_Hypergeom	0.39	94.5
WP4263	Target_Hypergeom	0.42	94.75
WP4666	Target_Hypergeom	0.389	96.0
WP306	Target_Hypergeom	0.404	97.0
WP4658	Target_Hypergeom	0.432	97.5
WP4155	Target_Hypergeom	0.434	97.5
WP2586	Target_Hypergeom	0.446	98.0
WP4806	Target_Hypergeom	0.422	99.75
WP615	Target_Hypergeom	0.394	100.5
WP707	Target_Hypergeom	0.406	106.75
WP4262	Target_Hypergeom	0.388	108.5
WP4754	Target_Hypergeom	0.374	113.0
WP5098	Target_Hypergeom	0.375	115.0
WP4298	Target_Hypergeom	0.357	115.5
WP1971	Target_Hypergeom	0.405	117.5
WP3932	Target_Hypergeom	0.319	118.0
WP138	Target_Hypergeom	0.375	118.25
WP4255	Target_Hypergeom	0.365	120.5
WP2374	Target_Hypergeom	0.331	124.0
WP1742	Target_Hypergeom	0.359	126.0
WP2864	Target_Hypergeom	0.368	126.75
WP179	Target_Hypergeom	0.383	127.5
WP2355	Target_Hypergeom	0.316	128.5
WP2813	Target_Hypergeom	0.353	129.5
WP2877	Target_Hypergeom	0.369	129.75
WP49	Target_Hypergeom	0.397	130.5
WP45	Target_Hypergeom	0.415	131.0
WP3932	Target_NonCentral	0.117	131.0
WP3888	Target_NonCentral	0.052	132.0
WP1530	Target_Hypergeom	0.36	132.5
WP399	Target_Hypergeom	0.347	133.0
WP5055	Target_Hypergeom	0.357	134.5
WP4685	Target_Hypergeom	0.364	135.0
WP4970	Target_Hypergeom	0.311	135.25
WP5115	Target_Hypergeom	0.368	136.0
WP254	Target_Hypergeom	0.349	137.0
WP673	Target_Hypergeom	0.356	137.25
WP2814	Target_Hypergeom	0.37	138.25
WP3929	Target_NonCentral	0.085	141.0
WP4541	Target_Hypergeom	0.326	141.25
WP363	Target_Hypergeom	0.317	141.5
WP306	Target_NonCentral	0.035	143.0
WP236	Target_NonCentral	0.058	145.5
WP5087	Target_NonCentral	0.086	146.0
WP2032	Target_Hypergeom	0.337	146.0
WP706	Target_Hypergeom	0.273	146.0
WP61	Target_Hypergeom	0.344	147.25
WP437	Target_NonCentral	0.054	148.5
WP2446	Target_Hypergeom	0.321	149.0
WP2037	Target_Hypergeom	0.295	150.5
WP3303	Target_Hypergeom	0.295	150.5
WP3617	Target_Hypergeom	0.375	150.75
WP2858	Target_NonCentral	0.07	151.0
WP3680	Target_Hypergeom	0.32	151.25
WP4172	Target_NonCentral	0.106	152.0
WP3915	Target_NonCentral	0.098	152.0
WP437	Target_Hypergeom	0.252	152.5
WP2882	Target_NonCentral	0.108	154.0
WP2572	Target_Hypergeom	0.302	154.0
WP185	Target_NonCentral	0.084	154.5
WP382	Target_Hypergeom	0.211	155.0
WP3624	Target_Hypergeom	0.335	155.25
WP560	Target_Hypergeom	0.305	155.25
WP2817	Target_Hypergeom	0.33	156.5
WP3651	Target_Hypergeom	0.289	156.75
WP4816	Target_Hypergeom	0.303	157.25
WP51	Target_NonCentral	0.075	157.5
WP2380	Target_NonCentral	0.061	158.0
WP5124	Target_NonCentral	0.074	158.0
WP3614	Target_Hypergeom	0.318	158.5
WP5094	Target_NonCentral	0.06	159.0
WP706	Target_NonCentral	0.066	159.0
WP481	Target_NonCentral	0.048	160.5
WP3594	Target_NonCentral	0.068	161.0
WP4341	Target_Hypergeom	0.296	161.0
WP2877	Target_NonCentral	0.095	162.0
WP3640	Target_Hypergeom	0.276	163.0
WP5083	Target_Hypergeom	0.261	163.0
WP127	Target_Hypergeom	0.323	163.5
WP289	Target_NonCentral	0.04	164.0
WP5115	Target_NonCentral	0.119	165.0
WP4223	Target_NonCentral	0.035	165.0
WP4879	Target_Hypergeom	0.267	165.75
WP205	Target_Hypergeom	0.303	166.0
WP4540	Target_NonCentral	0.055	167.5
WP4754	Target_NonCentral	0.117	168.0
WP366	Target_NonCentral	0.021	168.0
WP2324	Target_Hypergeom	0.272	169.0
WP289	Target_Hypergeom	0.224	169.0
WP382	Target_NonCentral	0.05	169.0
WP4541	Target_NonCentral	0.034	169.0
WP2853	Target_NonCentral	0.063	169.0
WP2849	Target_Hypergeom	0.278	169.25
