annotation_id	typeOfAnalysis	p_times	ranking
hsa05200	Target_Hypergeom	0.696	10.0
hsa05205	Target_Hypergeom	0.567	35.5
hsa05202	Target_Hypergeom	0.551	36.25
hsa04151	Target_Hypergeom	0.495	41.0
hsa05166	Target_Hypergeom	0.494	44.0
hsa05163	Target_Hypergeom	0.492	45.0
hsa05215	Target_Hypergeom	0.458	47.0
hsa05219	Target_Hypergeom	0.467	47.5
hsa05161	Target_Hypergeom	0.455	48.0
hsa05220	Target_Hypergeom	0.48	49.0
hsa04218	Target_Hypergeom	0.474	50.0
hsa04933	Target_Hypergeom	0.456	50.0
hsa05225	Target_Hypergeom	0.494	51.0
hsa04066	Target_Hypergeom	0.474	51.0
hsa01522	Target_Hypergeom	0.452	52.0
hsa05222	Target_Hypergeom	0.466	52.0
hsa05167	Target_Hypergeom	0.455	53.0
hsa04510	Target_Hypergeom	0.447	53.0
hsa05210	Target_Hypergeom	0.491	53.0
hsa05417	Target_Hypergeom	0.443	56.0
hsa05212	Target_Hypergeom	0.463	56.5
hsa05169	Target_Hypergeom	0.448	56.5
hsa05226	Target_Hypergeom	0.463	57.0
hsa05206	Target_Hypergeom	0.443	57.5
hsa04115	Target_Hypergeom	0.433	59.0
hsa05418	Target_Hypergeom	0.387	60.0
hsa05224	Target_Hypergeom	0.431	63.0
hsa05165	Target_Hypergeom	0.395	64.0
hsa05213	Target_Hypergeom	0.431	64.25
hsa05223	Target_Hypergeom	0.414	64.5
hsa04010	Target_Hypergeom	0.38	65.0
hsa04068	Target_Hypergeom	0.382	67.0
hsa05216	Target_Hypergeom	0.433	67.75
hsa04110	Target_Hypergeom	0.408	71.5
hsa05218	Target_Hypergeom	0.389	71.5
hsa04630	Target_Hypergeom	0.388	71.75
hsa05214	Target_Hypergeom	0.375	73.0
hsa05221	Target_Hypergeom	0.387	73.0
hsa05203	Target_Hypergeom	0.343	74.0
hsa04390	Target_Hypergeom	0.397	74.0
hsa05131	Target_Hypergeom	0.366	74.0
hsa05160	Target_Hypergeom	0.353	77.25
hsa05162	Target_Hypergeom	0.364	77.75
hsa04210	Target_Hypergeom	0.357	78.75
hsa04928	Target_Hypergeom	0.384	79.0
hsa04810	Target_NonCentral	0.095	79.0
hsa04934	Target_Hypergeom	0.356	80.0
hsa05207	Target_Hypergeom	0.337	81.0
hsa01521	Target_Hypergeom	0.351	83.0
hsa05135	Target_Hypergeom	0.313	86.0
hsa01524	Target_Hypergeom	0.352	86.25
hsa04015	Target_NonCentral	0.099	88.0
hsa04062	Target_NonCentral	0.104	90.0
hsa04015	Target_Hypergeom	0.278	90.5
hsa04024	Target_NonCentral	0.067	90.5
hsa04310	Target_Hypergeom	0.291	90.5
hsa04921	Target_Hypergeom	0.283	91.0
hsa04380	Target_Hypergeom	0.272	91.0
hsa04510	Target_NonCentral	0.043	93.5
hsa04915	Target_Hypergeom	0.287	94.0
hsa04919	Target_Hypergeom	0.303	94.0
hsa05202	Target_NonCentral	0.056	95.0
hsa04659	Target_Hypergeom	0.31	95.0
hsa04371	Target_Hypergeom	0.251	96.0
hsa04611	Target_NonCentral	0.078	96.5
hsa01100	Target_NonCentral	0.082	97.0
hsa05200	Target_NonCentral	0.095	98.0
hsa04670	Target_NonCentral	0.062	98.0
hsa04072	Target_NonCentral	0.072	98.0
hsa04022	Target_NonCentral	0.102	98.5
hsa04010	Target_NonCentral	0.063	99.0
hsa04520	Target_Hypergeom	0.278	99.0
hsa04935	Target_NonCentral	0.058	99.0
hsa05211	Target_Hypergeom	0.248	100.0
hsa04931	Target_NonCentral	0.106	100.0
hsa05130	Target_NonCentral	0.036	100.0
hsa04917	Target_Hypergeom	0.274	100.5
hsa04625	Target_Hypergeom	0.251	101.0
hsa04934	Target_NonCentral	0.042	101.0
hsa04012	Target_Hypergeom	0.263	101.25
hsa04151	Target_NonCentral	0.09	102.0
hsa05131	Target_NonCentral	0.032	102.0
hsa04390	Target_NonCentral	0.058	102.0
hsa04014	Target_NonCentral	0.05	102.0
hsa04926	Target_Hypergeom	0.228	102.0
hsa04152	Target_Hypergeom	0.259	102.0
hsa05230	Target_Hypergeom	0.274	102.0
hsa05142	Target_Hypergeom	0.301	102.0
hsa05203	Target_NonCentral	0.058	102.0
hsa05135	Target_NonCentral	0.07	102.5
hsa04910	Target_NonCentral	0.08	103.0
hsa04530	Target_Hypergeom	0.202	103.0
hsa05417	Target_NonCentral	0.126	103.0
hsa04020	Target_NonCentral	0.071	103.5
hsa04371	Target_NonCentral	0.036	104.0
hsa04922	Target_NonCentral	0.05	104.0
hsa04514	Target_NonCentral	0.083	104.0
hsa04152	Target_NonCentral	0.092	104.0
hsa04668	Target_Hypergeom	0.306	104.0
hsa05165	Target_NonCentral	0.069	105.0
hsa05130	Target_Hypergeom	0.195	105.0
hsa04530	Target_NonCentral	0.032	105.5
hsa05132	Target_Hypergeom	0.204	106.0
hsa04380	Target_NonCentral	0.051	107.0
hsa05415	Target_NonCentral	0.061	107.0
hsa04931	Target_Hypergeom	0.247	107.0
hsa04810	Target_Hypergeom	0.209	107.0
hsa05140	Target_Hypergeom	0.306	107.0
hsa04360	Target_NonCentral	0.1	108.0
hsa04071	Target_Hypergeom	0.198	108.5
hsa05205	Target_NonCentral	0.02	109.0
hsa04014	Target_Hypergeom	0.2	109.0
hsa04550	Target_NonCentral	0.054	110.0
hsa04927	Target_NonCentral	0.053	110.0
hsa05414	Target_NonCentral	0.045	110.0
hsa05010	Target_NonCentral	0.06	110.0
hsa05166	Target_NonCentral	0.067	110.5
hsa04071	Target_NonCentral	0.028	111.0
hsa05410	Target_NonCentral	0.043	111.0
hsa04270	Target_NonCentral	0.064	111.5
hsa04064	Target_Hypergeom	0.248	112.0
hsa04925	Target_NonCentral	0.088	112.5
hsa05146	Target_Hypergeom	0.236	112.75
hsa05161	Target_NonCentral	0.046	113.0
hsa05145	Target_Hypergeom	0.301	113.0
hsa05022	Target_NonCentral	0.041	114.0
hsa04218	Target_NonCentral	0.043	114.0
hsa05170	Target_Hypergeom	0.199	114.0
hsa04919	Target_NonCentral	0.043	114.0
hsa05163	Target_NonCentral	0.033	114.0
hsa05132	Target_NonCentral	0.03	115.0
hsa04670	Target_Hypergeom	0.199	115.0
hsa04150	Target_NonCentral	0.06	115.0
hsa04310	Target_NonCentral	0.038	115.0
hsa04928	Target_NonCentral	0.026	115.0
hsa04144	Target_NonCentral	0.069	115.0
hsa04520	Target_NonCentral	0.037	115.0
hsa05418	Target_NonCentral	0.047	115.0
hsa04210	Target_NonCentral	0.064	115.0
hsa04068	Target_NonCentral	0.04	116.0
hsa04935	Target_Hypergeom	0.174	116.0
hsa04020	Target_Hypergeom	0.179	116.0
hsa04140	Target_NonCentral	0.03	117.0
hsa05225	Target_NonCentral	0.025	117.5
hsa05412	Target_NonCentral	0.085	118.0
hsa05170	Target_NonCentral	0.045	118.0
hsa05221	Target_NonCentral	0.028	118.0
hsa05146	Target_NonCentral	0.072	118.5
hsa05169	Target_NonCentral	0.085	119.0
hsa05152	Target_Hypergeom	0.227	119.0
hsa04211	Target_NonCentral	0.033	119.5
hsa05215	Target_NonCentral	0.042	120.0
hsa04261	Target_NonCentral	0.046	120.5
hsa04913	Target_Hypergeom	0.225	121.0
hsa04072	Target_Hypergeom	0.166	121.0
hsa04660	Target_Hypergeom	0.236	121.0
hsa04621	Target_NonCentral	0.079	121.5
hsa05167	Target_NonCentral	0.049	122.0
hsa04211	Target_Hypergeom	0.158	122.0
hsa04024	Target_Hypergeom	0.148	122.5
hsa04932	Target_NonCentral	0.052	123.0
hsa04066	Target_NonCentral	0.02	123.0
hsa04933	Target_NonCentral	0.067	123.0
hsa04370	Target_Hypergeom	0.178	123.0
hsa04062	Target_Hypergeom	0.167	123.5
hsa04932	Target_Hypergeom	0.194	123.75
hsa05224	Target_NonCentral	0.035	124.0
hsa01521	Target_NonCentral	0.027	124.0
hsa05220	Target_NonCentral	0.03	124.5
hsa04611	Target_Hypergeom	0.169	125.0
hsa04550	Target_Hypergeom	0.18	125.0
hsa04714	Target_NonCentral	0.021	125.0
hsa04921	Target_NonCentral	0.004	125.0
hsa05100	Target_NonCentral	0.036	125.0
hsa05410	Target_Hypergeom	0.176	125.0
hsa04722	Target_NonCentral	0.018	125.5
hsa04658	Target_Hypergeom	0.228	125.75
hsa05206	Target_NonCentral	0.022	126.0
hsa05100	Target_Hypergeom	0.189	126.0
hsa05223	Target_NonCentral	0.022	126.0
hsa05226	Target_NonCentral	0.038	126.0
hsa04915	Target_NonCentral	0.031	126.0
hsa04350	Target_Hypergeom	0.196	126.5
hsa05152	Target_NonCentral	0.088	127.0
hsa05207	Target_NonCentral	0.044	127.0
hsa04621	Target_Hypergeom	0.176	127.5
hsa05212	Target_NonCentral	0.031	128.0
hsa05416	Target_Hypergeom	0.183	128.5
hsa04657	Target_Hypergeom	0.294	128.5
hsa04926	Target_NonCentral	0.037	129.0
hsa05145	Target_NonCentral	0.081	129.0
hsa05208	Target_NonCentral	0.015	129.0
hsa05230	Target_NonCentral	0.038	130.0
hsa05160	Target_NonCentral	0.062	130.0
hsa04650	Target_NonCentral	0.074	130.0
hsa04012	Target_NonCentral	0.013	130.0
hsa04659	Target_NonCentral	0.082	130.0
hsa05222	Target_NonCentral	0.052	130.0
hsa04927	Target_Hypergeom	0.148	130.5
hsa05214	Target_NonCentral	0.019	131.0
hsa05020	Target_NonCentral	0.019	131.0
hsa05231	Target_NonCentral	0.032	131.0
hsa05415	Target_Hypergeom	0.146	131.5
hsa04722	Target_Hypergeom	0.156	131.75
hsa04728	Target_NonCentral	0.046	132.0
hsa04625	Target_NonCentral	0.048	132.0
hsa04912	Target_NonCentral	0.023	132.0
hsa05016	Target_NonCentral	0.011	132.0
hsa05017	Target_NonCentral	0.053	132.0
hsa05208	Target_Hypergeom	0.113	132.25
hsa05211	Target_NonCentral	0.038	132.5
hsa05321	Target_Hypergeom	0.273	133.0
hsa04912	Target_Hypergeom	0.143	133.0
hsa04613	Target_NonCentral	0.037	133.5
hsa05323	Target_Hypergeom	0.278	134.0
hsa04660	Target_NonCentral	0.065	135.0
hsa05164	Target_Hypergeom	0.225	135.0
hsa05218	Target_NonCentral	0.028	135.0
hsa04140	Target_Hypergeom	0.106	135.0
hsa01522	Target_NonCentral	0.02	135.0
hsa05213	Target_NonCentral	0.032	135.0
hsa05162	Target_NonCentral	0.098	135.0
hsa04666	Target_NonCentral	0.102	135.5
